address,current,old,sample,id,repository_type
00wendi00/MyProject,True,False,False,00wendi00/MyProject,git
01Lizard10/ConstraintResearch,True,False,False,01Lizard10/ConstraintResearch,git
01Lizard10/XTextUML,True,False,False,01Lizard10/XTextUML,git
1010836/odsoft,True,False,False,1010836/odsoft,git
101companies/101repo,True,True,False,101companies/101repo,git
177arc/digital-media-service-desktop,True,False,False,177arc/digital-media-service-desktop,git
1forintos/mondo_test,True,True,False,1forintos/mondo_test,git
3003agnes/EMF,True,False,False,3003agnes/EMF,git
3GF/era_dev,True,True,False,3GF/era_dev,git
3rdstage/exercise,True,False,False,3rdstage/exercise,git
51x31/tooldescription,True,False,False,51x31/tooldescription,git
708y/TextBE2,True,False,False,708y/TextBE2,git
7xMatthx2/E4Training,True,False,False,7xMatthx2/E4Training,git
ABChronos/BanqueApplication,True,False,False,ABChronos/BanqueApplication,git
AGES-Initiatives/alwb-java,True,False,False,AGES-Initiatives/alwb-java,git
AGSNeditor/development,True,False,False,AGSNeditor/development,git
AML14/model-driven-mobile-apps-generator,True,False,False,AML14/model-driven-mobile-apps-generator,git
AMahfodh/IGTRRep,True,False,False,AMahfodh/IGTRRep,git
ANCIT/gef-example,True,False,False,ANCIT/gef-example,git
ANCIT/xtext-examples,True,False,False,ANCIT/xtext-examples,git
ANCYCH/imogene,True,False,False,ANCYCH/imogene,git
APvanderMeer/EMF-TL,True,True,False,APvanderMeer/EMF-TL,git
ARM-software/cmsis-pack-eclipse,True,False,False,ARM-software/cmsis-pack-eclipse,git
AUT-201620/Proyecto,True,False,False,AUT-201620/Proyecto,git
Abadhor/ModelEngineeringRepo,True,False,False,Abadhor/ModelEngineeringRepo,git
AbdulAli/OCLM2MQvtoPivotBasedMapping,True,False,False,AbdulAli/OCLM2MQvtoPivotBasedMapping,git
Acen1991/maze-dijkstra-game,True,False,False,Acen1991/maze-dijkstra-game,git
AchimLoerke/ItemList,True,False,False,AchimLoerke/ItemList,git
AdeleResearchGroup/iCasa-IDE,True,False,False,AdeleResearchGroup/iCasa-IDE,git
AdrianoKF/EAMetamodel,True,False,False,AdrianoKF/EAMetamodel,git
Advanced-Model-Engineering-SS16/xtext-ocl-extensions,True,False,False,Advanced-Model-Engineering-SS16/xtext-ocl-extensions,git
Agetac/SITAC,True,True,False,Agetac/SITAC,git
AiC-Project/ats.dslcc,True,False,False,AiC-Project/ats.dslcc,git
AiC-Project/ats.testcc,True,False,False,AiC-Project/ats.testcc,git
AlFranzis/SmartMatcher,True,True,False,AlFranzis/SmartMatcher,git
AlbiDode/Project,True,False,False,AlbiDode/Project,git
Alex0216/LOG8430,True,False,False,Alex0216/LOG8430,git
Alexandra93/DT,True,False,False,Alexandra93/DT,git
Alexandra93/WorkflowEngine,True,False,False,Alexandra93/WorkflowEngine,git
AlexandreRio/WhileToLuaTranspiler,True,False,False,AlexandreRio/WhileToLuaTranspiler,git
AlexandreRio/kmfc,True,False,False,AlexandreRio/kmfc,git
Alisu/-TER_2017-Variabilite,True,False,False,Alisu/-TER_2017-Variabilite,git
AllanLeon/listaCompiler,True,False,False,AllanLeon/listaCompiler,git
Alma2015AB/AlmaAB,True,False,False,Alma2015AB/AlmaAB,git
AlmazNasibullin/GitTestProject,True,False,False,AlmazNasibullin/GitTestProject,git
AmanziTel/awe-udig,True,False,False,AmanziTel/awe-udig,git
AmeniBF/GemRBAC-CTX-model,True,False,False,AmeniBF/GemRBAC-CTX-model,git
AmeniBF/GemRBAC-DSL-Transform,True,False,False,AmeniBF/GemRBAC-DSL-Transform,git
AmeniBF/GemRBAC-model,True,False,False,AmeniBF/GemRBAC-model,git
AmerPecuj/MBSE,True,False,False,AmerPecuj/MBSE,git
AnHup/VariedLandscape,True,False,False,AnHup/VariedLandscape,git
Andersmholmgren/vcore_ecore,True,False,False,Andersmholmgren/vcore_ecore,git
AndreaSibi/AEmiliaToText,True,False,False,AndreaSibi/AEmiliaToText,git
AndroidTesting-NJU/IFML,True,False,False,AndroidTesting-NJU/IFML,git
AngelMorenoMDE/cevinedit,True,False,False,AngelMorenoMDE/cevinedit,git
AngelMorenoMDE/er_crows_foot,True,False,False,AngelMorenoMDE/er_crows_foot,git
AngelMorenoMDE/er_peter_chen,True,False,False,AngelMorenoMDE/er_peter_chen,git
AngelMorenoMDE/er_peter_chen_extended,True,False,False,AngelMorenoMDE/er_peter_chen_extended,git
AngelMorenoMDE/innovaserv_e3value,True,False,False,AngelMorenoMDE/innovaserv_e3value,git
AngelMorenoMDE/innovaserv_pcn,True,False,False,AngelMorenoMDE/innovaserv_pcn,git
AngelMorenoMDE/innovaserv_service_blueprint,True,False,False,AngelMorenoMDE/innovaserv_service_blueprint,git
AngelMorenoMDE/kybdele_entity_relationship,True,False,False,AngelMorenoMDE/kybdele_entity_relationship,git
AngelMorenoMDE/kybdele_relational,True,False,False,AngelMorenoMDE/kybdele_relational,git
AngeloFerrando/trace_expression_plugin_eclipse,True,False,False,AngeloFerrando/trace_expression_plugin_eclipse,git
AniketosEU/Secure-Service-Specification-and-Deployment,True,True,False,AniketosEU/Secure-Service-Specification-and-Deployment,git
AniketosEU/Security-Service-Validation-and-Verification,True,False,False,AniketosEU/Security-Service-Validation-and-Verification,git
AniketosEU/Socio-technical-Security-Requirements,True,True,False,AniketosEU/Socio-technical-Security-Requirements,git
Anouaman/TheSiriusStuff,True,False,False,Anouaman/TheSiriusStuff,git
AntoineDelacroix/DartProject,True,False,False,AntoineDelacroix/DartProject,git
AntoineDelacroixCelad/Test2Models,True,False,False,AntoineDelacroixCelad/Test2Models,git
Antonio-JP/ChessReader,True,False,False,Antonio-JP/ChessReader,git
Antonio-JP/rioko.hamiltonian,True,False,False,Antonio-JP/rioko.hamiltonian,git
ApexSoft/Papyrus-1.0-M5-DevSourceSet,True,True,False,ApexSoft/Papyrus-1.0-M5-DevSourceSet,git
ApexSoft/modellipse,True,True,False,ApexSoft/modellipse,git
Arccore/synligare,True,False,False,Arccore/synligare,git
Arch-E/arche.performance,True,False,False,Arch-E/arche.performance,git
Ardrein/OrganisationalChartEditor,True,False,False,Ardrein/OrganisationalChartEditor,git
ArendtTh/Seminar-Eclipse-WS201415,True,False,False,ArendtTh/Seminar-Eclipse-WS201415,git
AresEkb/EMFTextArithm,True,True,False,AresEkb/EMFTextArithm,git
AresEkb/EMFTextTowerOfPisa,True,True,False,AresEkb/EMFTextTowerOfPisa,git
AresEkb/EMFTextXPath2,True,True,False,AresEkb/EMFTextXPath2,git
AresEkb/EMFTextXPath3,True,False,False,AresEkb/EMFTextXPath3,git
AresEkb/anchor,True,False,False,AresEkb/anchor,git
AresEkb/eaeu.cm,True,False,False,AresEkb/eaeu.cm,git
AresEkb/mda_course,True,False,False,AresEkb/mda_course,git
AresEkb/sql,True,False,False,AresEkb/sql,git
AresEkb/test_par_qvto,True,False,False,AresEkb/test_par_qvto,git
AresEkb/uml2xsd,False,True,False,AresEkb/uml2xsd,git
AresEkb/xmodel,True,False,False,AresEkb/xmodel,git
Arialaxe/YouLang,True,False,False,Arialaxe/YouLang,git
ArjyaSMishra/eMoflon-Rules,True,False,False,ArjyaSMishra/eMoflon-Rules,git
ArkadiuszMichalRys/sirius-model,True,False,False,ArkadiuszMichalRys/sirius-model,git
Arkanoid88/mde_project_2,True,False,False,Arkanoid88/mde_project_2,git
ArsenShnurkov/GrGen,True,False,False,ArsenShnurkov/GrGen,git
ArthurHuo/metamodel-mcda,True,False,False,ArthurHuo/metamodel-mcda,git
ArthurVALKO/NewsManager,True,False,False,ArthurVALKO/NewsManager,git
ArthurVard/professor-fish-all,True,False,False,ArthurVard/professor-fish-all,git
AskhatOmarov/or_kmt,True,False,False,AskhatOmarov/or_kmt,git
Asteip/CCS-Model,True,False,False,Asteip/CCS-Model,git
Ataloumpak/PJE,True,True,False,Ataloumpak/PJE,git
AuroraSyN/UNI-Heidelberg-isw1516,True,False,False,AuroraSyN/UNI-Heidelberg-isw1516,git
Automatizacion/Proyecto,True,False,False,Automatizacion/Proyecto,git
Avlessi/BrowserTestDSL,True,False,False,Avlessi/BrowserTestDSL,git
AxelBerres/SYMO4PD,True,False,False,AxelBerres/SYMO4PD,git
Axellience/emfgwt,True,False,False,Axellience/emfgwt,git
Axellience/gmm-eclipse-plugins,True,False,False,Axellience/gmm-eclipse-plugins,git
AymanDogui/EclipseModeling,True,False,False,AymanDogui/EclipseModeling,git
Aymen-salford-university/AymenGetHubRepo,True,False,False,Aymen-salford-university/AymenGetHubRepo,git
Aymen-salford-university/SenNet-v4,True,False,False,Aymen-salford-university/SenNet-v4,git
BGCX067/ezrealtime-svn-to-git,True,False,False,BGCX067/ezrealtime-svn-to-git,git
BGCX067/fabr3c-svn-to-git,True,False,False,BGCX067/fabr3c-svn-to-git,git
BGCX067/factures-svn-to-git,True,False,False,BGCX067/factures-svn-to-git,git
BGCX261/zimeoprocess-svn-to-git,True,False,False,BGCX261/zimeoprocess-svn-to-git,git
BGCX261/zoomenv-hg-to-git,True,False,False,BGCX261/zoomenv-hg-to-git,git
BGCX261/zoomenv-svn-to-git,True,False,False,BGCX261/zoomenv-svn-to-git,git
BPMN4V/BPMN4V-Modeller,True,False,False,BPMN4V/BPMN4V-Modeller,git
BSI-Business-Systems-Integration-AG/org.eclipse.scout.xtext,True,False,False,BSI-Business-Systems-Integration-AG/org.eclipse.scout.xtext,git
BT-Tools/ComBE,True,True,False,BT-Tools/ComBE,git
BaSys-PC1/csharp,True,False,False,BaSys-PC1/csharp,git
BaSys-PC1/models,True,False,False,BaSys-PC1/models,git
BackupTheBerlios/amof2-svn,True,False,False,BackupTheBerlios/amof2-svn,git
BackupTheBerlios/blanddern,True,False,False,BackupTheBerlios/blanddern,git
BackupTheBerlios/diva-unix-svn,True,False,False,BackupTheBerlios/diva-unix-svn,git
BackupTheBerlios/emf2cpp-svn,True,False,False,BackupTheBerlios/emf2cpp-svn,git
BackupTheBerlios/emt-svn,True,False,False,BackupTheBerlios/emt-svn,git
BackupTheBerlios/genfw,True,False,False,BackupTheBerlios/genfw,git
BackupTheBerlios/jadabs,True,False,False,BackupTheBerlios/jadabs,git
BackupTheBerlios/oslo-project-svn,True,False,False,BackupTheBerlios/oslo-project-svn,git
BackupTheBerlios/provervisual,True,False,False,BackupTheBerlios/provervisual,git
BackupTheBerlios/qedo-svn,True,False,False,BackupTheBerlios/qedo-svn,git
BackupTheBerlios/rcpviewer-svn,True,False,False,BackupTheBerlios/rcpviewer-svn,git
BackupTheBerlios/replicross-svn,True,False,False,BackupTheBerlios/replicross-svn,git
BackupTheBerlios/tef-svn,True,False,False,BackupTheBerlios/tef-svn,git
BackupTheBerlios/texosecurityidm-svn,True,False,False,BackupTheBerlios/texosecurityidm-svn,git
BackupTheBerlios/wave-svn,True,False,False,BackupTheBerlios/wave-svn,git
Bankzhy/workspace,True,False,False,Bankzhy/workspace,git
Bastcloa/testJenkins,True,False,False,Bastcloa/testJenkins,git
Bathtor/KompicsIDE,True,False,False,Bathtor/KompicsIDE,git
BauhausLuftfahrt/OpenCDT,True,False,False,BauhausLuftfahrt/OpenCDT,git
BauhausLuftfahrt/PAXelerate,True,False,False,BauhausLuftfahrt/PAXelerate,git
BazireA/IDM,True,False,False,BazireA/IDM,git
Beautiful-young/webidl2ecore,True,False,False,Beautiful-young/webidl2ecore,git
BenRhouma/AcceleoMavenStandAlone,True,True,False,BenRhouma/AcceleoMavenStandAlone,git
BenRhouma/AcceleoStandAlone,True,True,True,BenRhouma/AcceleoStandAlone,git
BenVanLier/Experiment,True,False,False,BenVanLier/Experiment,git
BenediktNiehues/de.nie.fin,True,False,False,BenediktNiehues/de.nie.fin,git
BentleyJOakes/Sanitization,True,False,False,BentleyJOakes/Sanitization,git
BergarSimonsen/SMDP,True,False,False,BergarSimonsen/SMDP,git
BernardoFBBraga/StoryModelling,True,False,False,BernardoFBBraga/StoryModelling,git
BestSolution-at/besttrack,True,False,False,BestSolution-at/besttrack,git
BestSolution-at/bitbucketmgr,True,False,False,BestSolution-at/bitbucketmgr,git
BestSolution-at/dartedit,True,False,False,BestSolution-at/dartedit,git
BestSolution-at/emap,True,False,False,BestSolution-at/emap,git
BestSolution-at/framework-grid,True,True,False,BestSolution-at/framework-grid,git
BestSolution-at/lego,True,False,False,BestSolution-at/lego,git
BestSolution-at/uDig,True,False,False,BestSolution-at/uDig,git
BeuthHochschule-MedienInformatik/sev,True,False,False,BeuthHochschule-MedienInformatik/sev,git
Bistiboy/Agricola,True,False,False,Bistiboy/Agricola,git
Bitiquinho/Scilab-Jupyter-Kernel,True,False,False,Bitiquinho/Scilab-Jupyter-Kernel,git
Bitiquinho/Scilab-OpenModelica-Integration,True,False,False,Bitiquinho/Scilab-OpenModelica-Integration,git
Bitub/step,True,False,False,Bitub/step,git
BjornArnelid/diffcalc,True,False,False,BjornArnelid/diffcalc,git
BlackBeltTechnology/judo-generator,True,False,False,BlackBeltTechnology/judo-generator,git
Blimster/three4g,True,False,False,Blimster/three4g,git
Blimster/three4g.wdl,True,True,False,Blimster/three4g.wdl,git
Boca13/Laffon,True,False,False,Boca13/Laffon,git
