repo,hash,url
iluwatar/java-design-patterns,966c56311cc774af624455165f6197a0d137c58f,https://github.com/iluwatar/java-design-patterns
spring-projects/spring-boot,495d1b1567697876a24683ad1a66c6a020cfa546,https://github.com/spring-projects/spring-boot
square/retrofit,1ccdaec7ea946ce33253249b82eacaf391266e2f,https://github.com/square/retrofit
square/okhttp,495b5f78a072b7812fe06f0b4c6565d5036f0587,https://github.com/square/okhttp
google/guava,0ac4a8b114e731880773b09fbf25dec0ea913ffe,https://github.com/google/guava
PhilJay/MPAndroidChart,42cdba535f5af8076f3a376afba543c7e41eb9d0,https://github.com/PhilJay/MPAndroidChart
apache/incubator-dubbo,7f5fd469ee44cc2802194cbecde48d7d1fc920e4,https://github.com/apache/incubator-dubbo
zxing/zxing,e636498b5e5b07bcfcdf27a3461ea3b5e127e418,https://github.com/zxing/zxing
proxyee-down-org/proxyee-down,08a2ce9277434539b2651f5fce9fa82d8734d540,https://github.com/proxyee-down-org/proxyee-down
netty/netty,88e4817cefb4b4d092e4f6a12f0599c54646db18,https://github.com/netty/netty
crossoverJie/JCSprout,2269f22a54feff9921332764e820fd1253d16559,https://github.com/crossoverJie/JCSprout
alibaba/fastjson,d8f081f5f461a288b944f0b26448b0185cdd8b95,https://github.com/alibaba/fastjson
facebook/fresco,623d0955963f689d6471931e519de581f2814f27,https://github.com/facebook/fresco
libgdx/libgdx,3e071eb3ba1ca39cc3f2538598b72bd61572aa67,https://github.com/libgdx/libgdx
google/gson,da5cae371e8b739fe63a6c6d16debf7b297dea0e,https://github.com/google/gson
alibaba/druid,475a848d6f4c93beebc8e121d7160f0b5044eba9,https://github.com/alibaba/druid
SeleniumHQ/selenium,3f8670ddf1fd033c00732ae64ace2254f8cf4f41,https://github.com/SeleniumHQ/selenium
Snailclimb/JavaGuide,a49933119eca56427bb830106fbc770eca5465ce,https://github.com/Snailclimb/JavaGuide
shuzheng/zheng,320d85ee795c3c6ef82cc2dd712283886723bf57,https://github.com/shuzheng/zheng
jenkinsci/jenkins,e3af0f3bb1d2f80a672e85e31d2dd63157033c16,https://github.com/jenkinsci/jenkins
jfeinstein10/SlidingMenu,4254feca3ece9397cd501921ee733f19ea0fdad8,https://github.com/jfeinstein10/SlidingMenu
androidannotations/androidannotations,93919bb9dc4fb2ee1b0d58e9094503dfcf7b4d5d,https://github.com/androidannotations/androidannotations
bazelbuild/bazel,27bb9481eca31b1f52bbf26bb86d8910342ff320,https://github.com/bazelbuild/bazel
apache/kafka,1c1e5ee97959d1841c9190deb0de2f18d55a4030,https://github.com/apache/kafka
JakeWharton/ViewPagerIndicator,8cd549f23f3d20ff920e19a2345c54983f65e26b,https://github.com/JakeWharton/ViewPagerIndicator
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,cdfac751e51e18607b67d6ca3794a8d703863aa9,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition
deeplearning4j/deeplearning4j,ae8ed89db9d83f79d9024b7c1c7a0012109ab988,https://github.com/deeplearning4j/deeplearning4j
openzipkin/zipkin,811c9d94c56f40c5341f24cac5b9e4c74811df38,https://github.com/openzipkin/zipkin
hankcs/HanLP,49ffc9d08d4c80ab4d928667536a53b82afd3418,https://github.com/hankcs/HanLP
liaohuqiu/android-Ultra-Pull-To-Refresh,46fdc861243a3d90dca1f5d31f3c82559ee9e4fa,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh
eugenp/tutorials,c0a5e019189f805fe069039c84755c03e0927fb5,https://github.com/eugenp/tutorials
ctripcorp/apollo,074437490533efde2c3286f150ef843fd56d1d09,https://github.com/ctripcorp/apollo
mybatis/mybatis-3,8e7b38a48ce22f020431b1374079d73ac5a25071,https://github.com/mybatis/mybatis-3
chrisbanes/Android-PullToRefresh,3bd8ef6869c3297bfe874d2f15c2ee53c3456e99,https://github.com/chrisbanes/Android-PullToRefresh
eclipse-vertx/vert.x,2eadfa43303f57f839cff38186f1a7a2c7e19688,https://github.com/eclipse-vertx/vert.x
brettwooldridge/HikariCP,45912ebb570ff9d54c010da61d1f2c26cc5cd39b,https://github.com/brettwooldridge/HikariCP
prestodb/presto,86e24d99a7ade8ed2c28aa6a2eac481d3cad59ae,https://github.com/prestodb/presto
apache/hadoop,1f9c4f32e842529be5980e395587f135452372bb,https://github.com/apache/hadoop
perwendel/spark,a16445f02240cb9c5a09c204664682e54e394437,https://github.com/perwendel/spark
naver/pinpoint,987c2e61b7996e5f3e2915852347ff821878a587,https://github.com/naver/pinpoint
clojure/clojure,a1722cf9a15d917ee78a117732cf5c5e01fe3557,https://github.com/clojure/clojure
google/guice,2f2c3a629eaf7e9a4e3687ae17004789fd41fed6,https://github.com/google/guice
JakeWharton/ActionBarSherlock,2c71339e756bcc0b1424c4525680549ba3a2dc97,https://github.com/JakeWharton/ActionBarSherlock
xetorthio/jedis,b7120ee559ccd225f7392cbe44fc55835a656710,https://github.com/xetorthio/jedis
b3log/symphony,9000ec6b827ea5cdd77e3c70ceb6f9534b71fc27,https://github.com/b3log/symphony
code4craft/webmagic,be892b80bf6682cd063d30ac25a79be0c079a901,https://github.com/code4craft/webmagic
apache/incubator-druid,c2f020eacc318a0dc5501209922b5b93a17c91fa,https://github.com/apache/incubator-druid
junit-team/junit4,10a863eee43c9e13d1647675016b086f527a0697,https://github.com/junit-team/junit4
google/auto,182066019898429d951f06683182c7a5520d5d9e,https://github.com/google/auto
JeffLi1993/springboot-learning-example,435b375e8a224d717fd3095851da3baaa659c54e,https://github.com/JeffLi1993/springboot-learning-example
oracle/graal,aaec3270325bff30be7f74883d86b5e948eecab3,https://github.com/oracle/graal
rzwitserloot/lombok,94d11d89a79d6cb417bac8261449c3f895f84990,https://github.com/rzwitserloot/lombok
square/dagger,572cdd2fe97fc3c148fb3d8e1b2ce7beb4dcbcde,https://github.com/square/dagger
dropwizard/dropwizard,a47351cae948e88d02b3367bf380121f54124305,https://github.com/dropwizard/dropwizard
redisson/redisson,1ab6ebf38ad50da613261975c024f89b4e0352c5,https://github.com/redisson/redisson
google/tink,6e1471900f8752dc48e8e002df5d23b437fcdc01,https://github.com/google/tink
dbeaver/dbeaver,d9fa151385b6b6924519ce1c6f6db0f920d8bac0,https://github.com/dbeaver/dbeaver
jhy/jsoup,cecdb3250c9d3f6cd3e5aed2743afa360e0d8531,https://github.com/jhy/jsoup
