repo,dependencyFile,url,http://org.softlang.com/Folder,http://org.softlang.com/File,http://org.softlang.com/groupId,http://org.softlang.com/artifactId,http://org.softlang.com/relativePath,http://org.softlang.com/Pom,http://org.softlang.com/MavenDependency,http://org.softlang.com/Property,http://org.softlang.com/ParentBlock,http://org.softlang.com/ParentPom,http://org.softlang.com/resolvable,http://org.softlang.com/Module
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns/blob/c7f9266768e566a532280d51b67dc070394233d6/service-layer/bin/pom.xml,1740,1633,558,558,NaN,121,438,38,120,4,1336,119
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,https://github.com/spring-projects/spring-boot/blob/35bb5abe1d32ffd21ba766b84f36e846814a5276/spring-boot-project/spring-boot-parent/pom.xml,3164,5731,2244,2244,18,229,2066,565,180,12,5932,181
square/retrofit,https://github.com/square/retrofit,https://github.com/square/retrofit/blob/f0b441b89eaf69397b35ec72704ca1bc6a9ddd6a/retrofit-adapters/guava/pom.xml,218,303,139,139,20,21,119,5,20,3,349,21
square/okhttp,https://github.com/square/okhttp,https://github.com/square/okhttp/blob/5b37cda9e00626f43acf354df145fd452c3031f1/okhttp-hpacktests/pom.xml,220,390,133,133,1,22,112,2,21,1,346,6
google/guava,https://github.com/google/guava,https://github.com/google/guava/blob/0cd4e9faa1360da4a343f84cb275d6eda0c5e732/android/guava-testlib/pom.xml,337,3252,89,89,NaN,12,78,10,11,1,235,9
PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,https://github.com/PhilJay/MPAndroidChart/blob/c1f6fcebf0c3516e067b34312b283189f909bde5/MPChartLib/pom.xml,73,414,1,1,NaN,1,1,1,NaN,NaN,4,NaN
apache/incubator-dubbo,https://github.com/apache/incubator-dubbo,https://github.com/apache/incubator-dubbo/blob/7a48fac84b14ac6a21c1bdfc5958705dd8dda84d/dubbo-registry/dubbo-registry-multicast/pom.xml,1360,1687,538,538,1,70,468,134,70,14,1605,69
zxing/zxing,https://github.com/zxing/zxing,https://github.com/zxing/zxing/blob/0cf3b9be71680f50c90a71ca26ce0d33664b0dd6/android-core/pom.xml,369,3608,39,39,NaN,8,32,9,7,1,115,7
proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down,https://github.com/proxyee-down-org/proxyee-down/blob/a0e6dfe42e3035b08a95d14fb2c87926dd61d873/pom.xml,53,94,6,6,NaN,3,4,3,2,1,21,2
netty/netty,https://github.com/netty/netty,https://github.com/netty/netty/blob/2d7cb47eddc79c4b43a1fb3996e8cb8bde15bff3/all/pom.xml,664,2797,297,297,2,38,260,75,37,NaN,864,2
crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout,https://github.com/crossoverJie/JCSprout/blob/9ec102bd6653cc730dd8a4240016dcbaebe9738d/pom.xml,49,128,NaN,NaN,NaN,1,NaN,3,NaN,NaN,5,2
alibaba/fastjson,https://github.com/alibaba/fastjson,https://github.com/alibaba/fastjson/blob/57d0434ab01c55e719bb52f3ec96bf12cad0e46c/pom.xml,234,2778,NaN,NaN,NaN,1,NaN,3,NaN,NaN,5,2
facebook/fresco,https://github.com/facebook/fresco,https://github.com/facebook/fresco/blob/e1145cfce57bb1b31dbd88d59a353a484a91cc80/fbcore/src/main/java/pom.xml,798,2313,1,1,NaN,1,NaN,NaN,1,NaN,2,NaN
libgdx/libgdx,https://github.com/libgdx/libgdx,https://github.com/libgdx/libgdx/blob/a4805d6a017b80622d6bfdd3a791352257a3c539/extensions/gdx-bullet/pom.xml,729,4964,103,103,25,27,76,12,27,3,345,26
google/gson,https://github.com/google/gson,https://github.com/google/gson/blob/9d44cbc19a73b45971c4ecb33c8d34d673afa210/codegen/pom.xml,126,344,20,20,NaN,6,15,6,5,1,61,1
alibaba/druid,https://github.com/alibaba/druid,https://github.com/alibaba/druid/blob/00a9b92ca1c28a06fc1117c7b878aa00b90dd476/druid-spring-boot-starter/pom.xml,399,4659,69,69,NaN,2,69,9,NaN,NaN,208,NaN
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium/blob/07a18746ff756e90fd79ef253a328bd7dfa9e6dc/java/client/src/org/openqa/selenium/pom.xml,814,5774,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN
shuzheng/zheng,https://github.com/shuzheng/zheng,https://github.com/shuzheng/zheng/blob/e9b08db4f9c9618515e614ba98dd882a28f6c365/zheng-admin/pom.xml,714,1232,222,222,NaN,56,179,93,43,10,758,55
jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,https://github.com/jenkinsci/jenkins/blob/e998a7808ff7bf2523382fac8a28c2c1912b63a4/cli/pom.xml,953,11645,141,141,NaN,5,137,17,4,NaN,414,12
jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu/blob/4254feca3ece9397cd501921ee733f19ea0fdad8/library-maps-support/pom.xml,52,137,11,11,2,3,8,NaN,3,1,30,2
androidannotations/androidannotations,https://github.com/androidannotations/androidannotations,https://github.com/androidannotations/androidannotations/blob/1b33dcc323fa729895dcbb89c56fcf62b0f22d12/AndroidAnnotations/androidannotations-core/androidannotations-api/pom.xml,420,1090,136,136,NaN,22,115,38,21,6,377,20
bazelbuild/bazel,https://github.com/bazelbuild/bazel,https://github.com/bazelbuild/bazel/blob/1f684e1b87cd8881a0a4b33e86ba66743e32d674/third_party/java/proguard/proguard5.3.3/buildscripts/maven/ant/pom.xml,1407,10057,39,39,6,11,29,13,10,2,127,8
JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator/blob/8cd549f23f3d20ff920e19a2345c54983f65e26b/library/pom.xml,28,154,10,10,2,3,7,7,3,1,34,2
apache/kafka,https://github.com/apache/kafka,https://github.com/apache/kafka/blob/2b37a041d3c7048a4b95b65197c278df7f51a521/streams/quickstart/java/pom.xml,638,2778,4,4,1,3,2,5,2,1,17,1
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide/blob/39472db9419ff8bb75e91e6b399d18cc41af8f53/%E6%95%B0%E6%8D%AE%E7%BB%93%E6%9E%84%E4%B8%8E%E7%AE%97%E6%B3%95/source%20code/securityAlgorithm/pom.xml,31,69,3,3,NaN,1,3,1,NaN,NaN,10,NaN
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition/blob/cdfac751e51e18607b67d6ca3794a8d703863aa9/pom.xml,45,101,3,3,NaN,1,2,7,1,NaN,17,2
deeplearning4j/deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,https://github.com/deeplearning4j/deeplearning4j/blob/71b7615b0a18005b41c204ec1daa6d84644a4be8/pom.xml,3040,8112,1071,1071,1,125,947,315,124,23,3447,124
openzipkin/zipkin,https://github.com/openzipkin/zipkin,https://github.com/openzipkin/zipkin/blob/867a90ffbfbc2bab4d6314c9d71e12c3cafce1eb/zipkin-server/src/it/execjar/pom.xml,404,564,221,221,1,30,193,90,28,4,679,27
