repo,dependencyFile,url,http://org.softlang.com/Folder,http://org.softlang.com/File,http://org.softlang.com/groupId,http://org.softlang.com/artifactId,http://org.softlang.com/relativePath,http://org.softlang.com/Pom,http://org.softlang.com/MavenDependency,http://org.softlang.com/Property,http://org.softlang.com/ParentBlock,http://org.softlang.com/ParentPom,http://org.softlang.com/resolvable,http://org.softlang.com/Module
apache/camel,https://github.com/apache/camel,https://github.com/apache/camel/blob/d0e04616cebee03ecdd5ed5333ed57a93237b62c/archetypes/camel-archetype-web/src/main/resources/archetype-resources/pom.xml,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
apache/hive,https://github.com/apache/hive,https://github.com/apache/hive/blob/f37c5de6c32b9395d1b34fa3c02ed06d1bfbf6eb/hbase-handler/pom.xml,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ffay/lanproxy,https://github.com/ffay/lanproxy,https://github.com/ffay/lanproxy/blob/945d2f821cfdb048f21a9fac4ba16f7f4baa2d23/pom.xml,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
btraceio/btrace,https://github.com/btraceio/btrace,https://github.com/btraceio/btrace/blob/bf48290d06193e0f28c904183cb3e15906fa14f7/benchmark/maven/pom.xml,94,582,16,16,NaN,2,16,8,NaN,NaN,54,NaN
zhanglei-workspace/shopping-management-system,https://github.com/zhanglei-workspace/shopping-management-system,https://github.com/zhanglei-workspace/shopping-management-system/blob/846c7d6c94047b00c3e2731426e9f6ba4720719a/3#Java%E7%8B%99%E5%87%BB%E9%A1%B9%E7%9B%AE/fbird/pom.xml,155,374,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN
quartz-scheduler/quartz,https://github.com/quartz-scheduler/quartz,https://github.com/quartz-scheduler/quartz/blob/9f9e400733f51f7cb658e3319fc2c140ab8af938/checkstyle/pom.xml,270,735,104,104,2,18,87,39,17,2,344,15
undertow-io/undertow,https://github.com/undertow-io/undertow,https://github.com/undertow-io/undertow/blob/51b26cf0acd99479aa314d4ba0c82d76e54056b1/core/pom.xml,258,1384,102,102,NaN,9,93,64,9,1,311,8
mybatis/spring-boot-starter,https://github.com/mybatis/spring-boot-starter,https://github.com/mybatis/spring-boot-starter/blob/e7ad640500f5b8f8be3ab5a736095015663092a5/mybatis-spring-boot-samples/mybatis-spring-boot-sample-annotation/pom.xml,108,84,67,67,NaN,8,59,31,8,1,204,10
linkedin/pinot,https://github.com/linkedin/pinot,https://github.com/linkedin/pinot/blob/d8cc04d5d412ff7750f0cf5a34201171667ecd04/thirdeye/thirdeye-frontend/pom.xml,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ltsopensource/light-task-scheduler,https://github.com/ltsopensource/light-task-scheduler,https://github.com/ltsopensource/light-task-scheduler/blob/64d3aa000ff5022be5e94f511b58f405e5f4c8eb/lts-jobclient/pom.xml,358,1200,196,196,NaN,10,186,31,10,1,515,9
bonnyfone/vectalign,https://github.com/bonnyfone/vectalign,https://github.com/bonnyfone/vectalign/blob/3393c5ee3440a48d5e7cec04bb6e2f0da532ba51/pom.xml,17,28,3,3,NaN,1,3,2,NaN,NaN,11,NaN
square/keywhiz,https://github.com/square/keywhiz,https://github.com/square/keywhiz/blob/daf8e62e5c61135d036c79470b1e81db45726796/log/pom.xml,329,1825,95,95,NaN,9,87,4,8,NaN,208,NaN
