address,current,old,sample,id,repository_type
101companies/101repo,True,True,False,101companies/101repo,git
1forintos/mondo_test,True,True,False,1forintos/mondo_test,git
3GF/era_dev,True,True,False,3GF/era_dev,git
APvanderMeer/EMF-TL,True,True,False,APvanderMeer/EMF-TL,git
Agetac/SITAC,True,True,False,Agetac/SITAC,git
AlFranzis/SmartMatcher,True,True,False,AlFranzis/SmartMatcher,git
AniketosEU/Secure-Service-Specification-and-Deployment,True,True,False,AniketosEU/Secure-Service-Specification-and-Deployment,git
AniketosEU/Socio-technical-Security-Requirements,True,True,False,AniketosEU/Socio-technical-Security-Requirements,git
ApexSoft/Papyrus-1.0-M5-DevSourceSet,True,True,False,ApexSoft/Papyrus-1.0-M5-DevSourceSet,git
ApexSoft/modellipse,True,True,False,ApexSoft/modellipse,git
AresEkb/EMFTextArithm,True,True,False,AresEkb/EMFTextArithm,git
AresEkb/EMFTextTowerOfPisa,True,True,False,AresEkb/EMFTextTowerOfPisa,git
AresEkb/EMFTextXPath2,True,True,False,AresEkb/EMFTextXPath2,git
AresEkb/uml2xsd,False,True,False,AresEkb/uml2xsd,git
Ataloumpak/PJE,True,True,False,Ataloumpak/PJE,git
BT-Tools/ComBE,True,True,False,BT-Tools/ComBE,git
BenRhouma/AcceleoMavenStandAlone,True,True,False,BenRhouma/AcceleoMavenStandAlone,git
BenRhouma/AcceleoStandAlone,True,True,True,BenRhouma/AcceleoStandAlone,git
BestSolution-at/framework-grid,True,True,False,BestSolution-at/framework-grid,git
Blimster/three4g.wdl,True,True,False,Blimster/three4g.wdl,git
BreezeCSA/Breeze,True,True,False,BreezeCSA/Breeze,git
BryanHunt/eModeling,True,True,False,BryanHunt/eModeling,git
BryanHunt/eTrack,True,True,False,BryanHunt/eTrack,git
BryanHunt/mongo-emf,True,True,False,BryanHunt/mongo-emf,git
Buggaboo/xplatform,True,True,False,Buggaboo/xplatform,git
CSP-B/OnTrack,True,True,False,CSP-B/OnTrack,git
Chajunghun/aurora-project,True,True,False,Chajunghun/aurora-project,git
CloudScale-Project/ArchitecturalTemplates,True,True,False,CloudScale-Project/ArchitecturalTemplates,git
CloudScale-Project/Environment,True,True,False,CloudScale-Project/Environment,git
CloudScale-Project/Examples,True,True,False,CloudScale-Project/Examples,git
CloudScale-Project/Extractor,True,True,False,CloudScale-Project/Extractor,git
CoWolf/CoWolf,True,True,False,CoWolf/CoWolf,git
CodeTrek/sky-dis,True,True,False,CodeTrek/sky-dis,git
Dagefoerde/bugfree-octo-tyrion,True,True,False,Dagefoerde/bugfree-octo-tyrion,git
DanielWeber/emfmodelvisualizer,True,True,False,DanielWeber/emfmodelvisualizer,git
DanielWeber/org.eclipse.etrice,True,True,False,DanielWeber/org.eclipse.etrice,git
DevBoost/EMFText,True,True,False,DevBoost/EMFText,git
DevBoost/EMFText-Zoo,True,True,True,DevBoost/EMFText-Zoo,git
DevBoost/EMFTools,True,True,True,DevBoost/EMFTools,git
DevBoost/OntoMoPP,True,True,False,DevBoost/OntoMoPP,git
DevBoost/Reuseware,True,True,False,DevBoost/Reuseware,git
Dexels/navajo.tools,True,True,False,Dexels/navajo.tools,git
Doxxer/SPbAU-Fall-2014,True,True,True,Doxxer/SPbAU-Fall-2014,git
DylanYu/model-defined-cloud,False,True,False,DylanYu/model-defined-cloud,git
DylanYu/smatrt,True,True,False,DylanYu/smatrt,git
EPiCS/soundgates,True,True,False,EPiCS/soundgates,git
EgoVanautgaerden/Testje,True,True,False,EgoVanautgaerden/Testje,git
ElliotJH/rodin-visual-editor,True,True,False,ElliotJH/rodin-visual-editor,git
EpsilonFans/epsilon-serverside,True,True,False,EpsilonFans/epsilon-serverside,git
FORMAS/OWL-S-Composer,True,True,False,FORMAS/OWL-S-Composer,git
FTSRG-archive/trainbenchmark-ase,True,True,False,FTSRG-archive/trainbenchmark-ase,git
FTSRG/dse-merge,False,True,True,FTSRG/dse-merge,git
FTSRG/logic-workshop,True,True,False,FTSRG/logic-workshop,git
FTSRG/massif,False,True,False,FTSRG/massif,git
FTSRG/mondo-collab-framework,True,True,False,FTSRG/mondo-collab-framework,git
FTSRG/mondo-collab-mergespaceexploration,True,True,False,FTSRG/mondo-collab-mergespaceexploration,git
FTSRG/mondo-collab-propbasedlocking,True,True,False,FTSRG/mondo-collab-propbasedlocking,git
FTSRG/trainbenchmark,False,True,False,FTSRG/trainbenchmark,git
FTSRG/trainbenchmark-ttc,True,True,False,FTSRG/trainbenchmark-ttc,git
FTSRG/viatra-cep-cps,False,True,False,FTSRG/viatra-cep-cps,git
FURCAS-dev/FURCAS,True,True,False,FURCAS-dev/FURCAS,git
FaMoSA/sxfm-ecore,False,True,False,FaMoSA/sxfm-ecore,git
FernanOrtega/sma-mdd-android-wp,True,True,False,FernanOrtega/sma-mdd-android-wp,git
FiifiB/TolerantParsing,True,True,False,FiifiB/TolerantParsing,git
FionaP/Agent-Interaction-Metamodel,True,True,False,FionaP/Agent-Interaction-Metamodel,git
Florian86/MBSE-Ernaehrungsplan,True,True,False,Florian86/MBSE-Ernaehrungsplan,git
Florian86/de.tu_bs.cs.isf.mbse.ernaehrungsplan,True,True,False,Florian86/de.tu_bs.cs.isf.mbse.ernaehrungsplan,git
Fragan/vvdoucchev,True,True,False,Fragan/vvdoucchev,git
Frankablu/CATMOS,True,True,True,Frankablu/CATMOS,git
FunThomas424242/com.github.funthomas424242.rades.evm,True,True,False,FunThomas424242/com.github.funthomas424242.rades.evm,git
FunThomas424242/gedcoml,True,True,False,FunThomas424242/gedcoml,git
