http://org.softlang.com/EcorePackageGenmodel,stargazers_count,pushed_at,http://org.softlang.com/EcorePackageXMI,http://org.softlang.com/qegal/EE,http://org.softlang.com/Folder,language,repository,http://org.softlang.com/Ant,genmodel,http://org.softlang.com/qegal/EJ1,http://org.softlang.com/qegal/EJ3,http://org.softlang.com/Pom,http://org.softlang.com/qegal/EJ2,http://org.softlang.com/Gradle,http://org.softlang.com/EcorePackageJava,state,http://org.softlang.com/File,http://org.softlang.com/EcoreClassifierJava,http://org.softlang.com/EcoreClassifierXMI,duplicates,http://org.softlang.com/GeneratorModel,http://org.softlang.com/qegal/E,http://org.softlang.com/qegal/G,http://org.softlang.com/Ecore,sha,http://org.softlang.com/qegal/EJJ,http://org.softlang.com/correspondsTo,eobject,http://org.softlang.com/qegal/J,size,http://org.softlang.com/partOf,ecore,default_branch,http://org.softlang.com/qegal/EJc2,components,sha_data,http://org.softlang.com/manifestsAs,created_at,http://org.softlang.com/Genmodel,http://org.softlang.com/uri,http://org.softlang.com/refersTo,updated_at,http://org.softlang.com/EcoreFactoryJava,http://org.softlang.com/name,http://org.softlang.com/OSGiProject,uniform_build,http://org.softlang.com/XML,http://org.softlang.com/nsUri,http://org.softlang.com/Manifest,http://org.softlang.com/refOccurs,http://org.softlang.com/Java,http://org.softlang.com/elementOf,time,watchers_count,http://org.softlang.com/nsPrefix,forks_count
1.0,11.0,2018-02-16T10:04:56Z,3.0,,32.0,Java,wiresketch/WireframeSketcher,0.0,1.0,,3.0,0.0,,0.0,3.0,done,275.0,123.0,132.0,0.0,1,3.0,1.0,1.0,55e0d3cbc131c4db90049e9eb79d5f4e999fe3fc,,126.0,53.0,3.0,557.0,442.0,1.0,master,2.0,1.0,2018-02-16T10:04:40Z,307.0,2011-07-11T03:08:37Z,1.0,255.0,1.0,2017-03-26T00:00:23Z,3.0,132.0,2.0,True,8.0,141.0,1.0,7.0,254.0,533.0,688,11.0,3.0,2.0
2.0,10.0,2012-05-31T09:14:58Z,1.0,,44.0,Java,ahmadzai/SEPA_GroupB,0.0,2.0,,1.0,0.0,,0.0,1.0,done,316.0,2.0,2.0,0.0,2,1.0,2.0,1.0,a478548ea6ef6d65c82e0477daeba75a389e04a6,,3.0,4.0,1.0,9276.0,364.0,1.0,master,,1.0,2012-05-31T09:14:50Z,360.0,2012-04-26T10:28:39Z,2.0,4.0,2.0,2014-06-19T21:04:20Z,1.0,2.0,1.0,True,10.0,5.0,1.0,2.0,25.0,49.0,719,10.0,1.0,1.0
1.0,10.0,2012-05-24T10:17:20Z,1.0,,13.0,Java,chherbst/StudentManager,0.0,1.0,,1.0,0.0,,0.0,1.0,done,31.0,2.0,2.0,0.0,1,1.0,1.0,1.0,f9765fbe046aedbb7991a8eb99a40535a65bb037,,3.0,4.0,1.0,184.0,47.0,1.0,master,,1.0,2012-05-06T22:55:52Z,44.0,2012-05-02T18:00:03Z,1.0,4.0,1.0,2013-12-18T12:34:06Z,1.0,2.0,1.0,True,8.0,5.0,1.0,3.0,13.0,33.0,609,10.0,1.0,0.0
5.0,9.0,2016-03-16T15:50:12Z,3.0,,136.0,Java,markus1978/emf-fragments,0.0,5.0,1.0,2.0,0.0,2.0,0.0,4.0,done,465.0,13.0,14.0,0.0,5,3.0,5.0,3.0,cc65adc7f69330b50d393cc833b8e3f28eb624db,,9.0,15.0,4.0,111893.0,622.0,3.0,master,1.0,1.0,2014-05-16T12:31:04Z,601.0,2013-02-07T11:30:47Z,5.0,27.0,5.0,2017-08-17T14:12:18Z,3.0,14.0,10.0,True,43.0,24.0,1.0,29.0,202.0,315.0,3134,9.0,3.0,2.0
2.0,6.0,2016-02-02T13:25:52Z,2.0,,355.0,HTML,openETCS/validation,0.0,2.0,2.0,,0.0,,0.0,,done,3560.0,,171.0,0.0,2,2.0,2.0,2.0,b6e2b417366027391a20806e4404d8f78edb05a8,,,0.0,,144552.0,4089.0,2.0,master,,1.0,2016-02-02T13:25:52Z,3915.0,2012-09-27T14:08:54Z,2.0,171.0,1.0,2017-08-03T12:42:46Z,,171.0,1.0,True,214.0,173.0,1.0,2.0,,395.0,5969,6.0,2.0,19.0
2.0,6.0,2012-12-01T16:06:36Z,2.0,,29.0,Java,rasztasd/ofbiz-eclipse-project-explorer,0.0,2.0,2.0,,0.0,,0.0,,done,177.0,,47.0,0.0,2,2.0,2.0,2.0,1af36724d0249301718dcde568e327780920a477,,,0.0,,32036.0,256.0,1.0,master,,1.0,2011-12-13T14:54:04Z,206.0,2011-05-30T13:19:53Z,2.0,47.0,2.0,2017-04-07T06:38:36Z,,47.0,1.0,True,11.0,48.0,1.0,14.0,76.0,144.0,765,6.0,1.0,4.0
2.0,6.0,2016-03-16T15:50:23Z,2.0,,20.0,Xtend,markus1978/emf-compress,0.0,2.0,2.0,,0.0,,0.0,,done,45.0,,15.0,0.0,2,2.0,2.0,2.0,f0cf9c7be197b6ec842612033307220d7d55017c,,,0.0,,211.0,83.0,2.0,master,,1.0,2016-03-16T15:50:19Z,65.0,2016-03-07T12:40:15Z,2.0,15.0,2.0,2017-07-12T15:51:30Z,,15.0,2.0,True,13.0,17.0,1.0,16.0,2.0,42.0,641,6.0,2.0,0.0
1.0,5.0,2015-11-27T10:44:18Z,1.0,,179.0,C,openETCS/dataDictionary,0.0,1.0,,1.0,0.0,,0.0,1.0,done,2372.0,9.0,9.0,0.0,1,1.0,1.0,1.0,4427da9844c8532cc62c358f5b3b3c1a6cd1b03f,,10.0,6.0,1.0,10839.0,2561.0,1.0,master,,1.0,2015-11-27T10:44:17Z,2551.0,2013-11-13T09:11:26Z,1.0,18.0,1.0,2016-12-03T04:36:28Z,1.0,9.0,2.0,True,17.0,12.0,1.0,5.0,29.0,74.0,2094,5.0,1.0,4.0
1.0,5.0,2011-08-16T02:35:59Z,1.0,,34.0,Java,eclipse-soc/amalgamation-examples-emf,0.0,1.0,,1.0,0.0,,0.0,1.0,done,655.0,54.0,54.0,0.0,1,1.0,1.0,1.0,0bb04a1c2cbe6d9e4d9eaa599cc2d741e38c697b,,55.0,20.0,1.0,462.0,744.0,1.0,master,,1.0,2011-08-16T02:24:11Z,689.0,2011-08-14T20:11:47Z,1.0,108.0,1.0,2014-03-29T22:23:39Z,1.0,54.0,3.0,True,14.0,57.0,1.0,12.0,384.0,518.0,781,5.0,1.0,1.0
2.0,4.0,2012-07-05T21:34:31Z,2.0,,212.0,Java,stylpe/Thesis,0.0,2.0,,2.0,0.0,,0.0,2.0,done,1785.0,21.0,24.0,0.0,2,2.0,2.0,2.0,953b1c50a65d8d573480ff77396fe6d1d6bcbc07,,21.0,4.0,2.0,175764.0,2024.0,2.0,master,1.0,1.0,2012-05-20T21:39:16Z,1997.0,2011-10-09T14:48:01Z,2.0,45.0,2.0,2017-08-21T19:06:51Z,2.0,24.0,6.0,True,34.0,30.0,1.0,39.0,86.0,189.0,2110,4.0,2.0,2.0
13.0,4.0,2016-02-25T15:41:31Z,28.0,,98.0,Java,jdelara/DSL-tao,0.0,5.0,21.0,7.0,0.0,,0.0,7.0,done,556.0,72.0,184.0,0.0,5,28.0,13.0,26.0,f3e4b230c3d2a1299541f727d7d568493c357daf,,79.0,62.0,7.0,61691.0,878.0,26.0,master,,1.0,2016-02-25T15:41:23Z,654.0,2014-10-26T10:05:37Z,5.0,256.0,5.0,2017-08-03T19:55:29Z,7.0,184.0,6.0,True,59.0,226.0,1.0,54.0,397.0,810.0,1188,4.0,28.0,2.0
3.0,4.0,2011-09-12T10:31:17Z,3.0,,99.0,Java,schmeedy/Joomla-Eclipse,0.0,3.0,,3.0,0.0,,0.0,3.0,done,244.0,36.0,39.0,0.0,3,3.0,3.0,3.0,a859995f492638e9a90f0afbeacc7a354aeb9bef,,38.0,34.0,3.0,672.0,387.0,3.0,master,2.0,1.0,2011-09-12T10:33:07Z,343.0,2011-03-01T21:32:30Z,3.0,75.0,3.0,2018-01-06T18:23:18Z,3.0,39.0,6.0,True,28.0,48.0,1.0,57.0,169.0,302.0,687,4.0,3.0,2.0
4.0,3.0,2016-01-27T08:07:33Z,6.0,5.0,40.0,Java,amlModeling/amlMetaModel,0.0,3.0,2.0,7.0,0.0,,0.0,3.0,done,269.0,40.0,176.0,0.0,3,6.0,4.0,6.0,48175b1e18f7f127c6a701327e825257f69b1c06,3.0,120.0,18.0,3.0,451.0,494.0,6.0,master,6.0,1.0,2016-01-27T08:07:04Z,309.0,2015-03-17T14:43:26Z,3.0,216.0,3.0,2018-02-07T12:41:39Z,3.0,176.0,2.0,True,33.0,188.0,1.0,6.0,213.0,491.0,703,3.0,6.0,6.0
1.0,3.0,2014-03-09T13:37:35Z,1.0,,76.0,Java,DesignAndDeploy/dnd,0.0,1.0,,1.0,0.0,,0.0,1.0,done,429.0,,7.0,0.0,1,1.0,1.0,1.0,05a0c6b7692a750021308d57fc5a4e9568c00275,,1.0,8.0,1.0,56082.0,513.0,1.0,master,1.0,1.0,2014-03-09T13:35:28Z,505.0,2013-05-15T16:12:44Z,1.0,7.0,,2014-03-09T13:37:35Z,1.0,7.0,1.0,True,6.0,10.0,1.0,9.0,342.0,363.0,1172,3.0,1.0,0.0
1.0,3.0,2012-05-31T17:52:50Z,1.0,,18.0,Java,siarmehri/AddressBookFinal-,0.0,1.0,,1.0,0.0,,0.0,1.0,done,129.0,3.0,3.0,0.0,1,1.0,1.0,1.0,eb811a9427f9859278f04b6c662d21bcf96a7247,,4.0,6.0,1.0,2228.0,151.0,1.0,master,,1.0,2012-05-31T17:52:32Z,147.0,2012-05-29T13:04:22Z,1.0,6.0,1.0,2014-04-14T04:15:52Z,1.0,3.0,1.0,True,13.0,6.0,1.0,2.0,25.0,52.0,906,3.0,1.0,0.0
4.0,3.0,2017-07-07T08:28:08Z,261.0,251.0,294.0,Java,SvenPeldszus/rgse.ttc17.emoflon.tgg,0.0,3.0,13.0,248.0,0.0,,0.0,71.0,done,4338.0,1312.0,4989.0,0.0,4,261.0,4.0,16.0,8d20d045427451b84eccd8a24e2914f6b6124e2b,,4916.0,164.0,71.0,67529.0,9885.0,10.0,master,20.0,1.0,2017-07-07T08:27:24Z,4632.0,2017-05-17T08:57:22Z,4.0,6301.0,4.0,2018-02-02T15:35:34Z,71.0,4989.0,7.0,True,1267.0,5392.0,1.0,46.0,3004.0,11013.0,8474,3.0,261.0,0.0
2.0,3.0,2011-11-30T15:20:02Z,2.0,,48.0,Java,coconutpalm/emf-prevayler,0.0,2.0,,2.0,0.0,,0.0,2.0,done,164.0,4.0,5.0,0.0,2,2.0,2.0,2.0,d9eb3a7e19165165d2c325ec43f0bdce6d71e4c1,,6.0,6.0,2.0,236.0,220.0,2.0,master,1.0,1.0,2011-11-27T02:12:49Z,212.0,2011-10-30T00:29:47Z,2.0,9.0,2.0,2016-09-02T13:20:38Z,2.0,5.0,3.0,True,14.0,11.0,1.0,12.0,135.0,176.0,609,3.0,2.0,0.0
2.0,3.0,2017-02-02T13:41:02Z,2.0,,55.0,Java,bioclipse/bioclipse.hivdrc,0.0,2.0,,2.0,0.0,,0.0,2.0,done,151.0,16.0,16.0,0.0,2,2.0,2.0,2.0,5ef46427e23d95d56ea604402d0702ba1ba141e4,,18.0,32.0,2.0,2281.0,225.0,2.0,master,,1.0,2017-01-26T12:56:01Z,206.0,2010-08-11T08:13:27Z,2.0,32.0,2.0,2017-02-02T13:41:01Z,2.0,16.0,4.0,True,31.0,22.0,1.0,41.0,75.0,158.0,750,3.0,2.0,2.0
1.0,2.0,2012-02-19T12:43:24Z,1.0,,27.0,Java,balazsgrill/openFurnitureTK,0.0,1.0,,1.0,0.0,,0.0,1.0,done,81.0,9.0,9.0,0.0,1,1.0,1.0,1.0,84b2be43848d3628c0c266277ff6885580f09833,,10.0,8.0,1.0,196.0,118.0,1.0,master,,1.0,2012-02-19T12:42:52Z,108.0,2011-11-20T16:36:46Z,1.0,18.0,1.0,2014-12-24T18:19:35Z,1.0,9.0,3.0,True,16.0,12.0,1.0,12.0,39.0,85.0,610,2.0,1.0,0.0
1.0,2.0,2017-07-28T10:20:45Z,1.0,,167.0,Java,orcc/xronos,0.0,1.0,,1.0,0.0,,0.0,1.0,done,1241.0,9.0,11.0,0.0,1,1.0,1.0,1.0,d4ddb342990e18e29464527b33d7e3a98c7d8549,,10.0,0.0,1.0,17039.0,1420.0,1.0,master,1.0,1.0,2016-11-17T16:23:06Z,1408.0,2012-12-06T12:57:41Z,1.0,20.0,1.0,2018-02-19T23:30:10Z,1.0,11.0,3.0,True,33.0,14.0,1.0,25.0,994.0,1059.0,1219,2.0,1.0,0.0
