total,low,high,page,repository,url
141,0,384000,1,ant8e/scala-softshake-2013,https://github.com/ant8e/scala-softshake-2013/blob/f0a1793ec28cca30d735da046a3298f82a4f367b/built.sbt
141,0,384000,1,ploddi/play-machete,https://github.com/ploddi/play-machete/blob/2fa6099f0d29b443f0c35564ade9299da6f1fcf1/built.sbt
141,0,384000,1,tpgmartin/bayesian_classifier_kata,https://github.com/tpgmartin/bayesian_classifier_kata/blob/a37e75ed27adc31b5454cbfe77cf81b9e55d6145/gaussian_naive_bayes/scala/built.sbt
141,0,384000,1,horizon23/spark-learning,https://github.com/horizon23/spark-learning/blob/7e69c8ab54faa82cb8ed8d4ea2fc408b4f2f05f1/built.sbt
141,0,384000,1,DEVMaid/DEVMaid,https://github.com/DEVMaid/DEVMaid/blob/b60477d5713030b13d419986e535812e9627865e/common/built.sbt
141,0,384000,1,hstraub/test-akka-io-tcp-client,https://github.com/hstraub/test-akka-io-tcp-client/blob/7c5d3a5769d52c39ce9684d6c65e58d5d48911f8/built.sbt
141,0,384000,1,ZuInnoTe/hadoopoffice,https://github.com/ZuInnoTe/hadoopoffice/blob/bb872ea9aa95c6010f227f6ab77b08f104cafcfd/flinkts/built.sbt
141,0,384000,1,Mashashi/7thMarathonParallelProgramming,https://github.com/Mashashi/7thMarathonParallelProgramming/blob/d8006745afe6d913e09ed21a3cded5585083daaf/2-MutuallyFriendlyNumbers/built.sbt
141,0,384000,1,gaara4896/Scala-Simple-Game,https://github.com/gaara4896/Scala-Simple-Game/blob/80ecc334f62b01b534d0637afd37367dae3f600f/built.sbt
141,0,384000,1,traviswhite827/sports_analysis,https://github.com/traviswhite827/sports_analysis/blob/1b44f2c03edafc8bb28c6be9d6f732b3d28315a2/football_spark/built.sbt
141,0,384000,1,munchii/scala-cab,https://github.com/munchii/scala-cab/blob/e3515017b43299b501b0c04fc8f233cce73e770b/built.sbt
141,0,384000,1,ibrahiem96/Sniffy-ScalaBuild,https://github.com/ibrahiem96/Sniffy-ScalaBuild/blob/57d871ac66c44109a79bcc7e079cbce299f2eb9a/built.sbt
141,0,384000,1,hstraub/minimal-akka-http-server,https://github.com/hstraub/minimal-akka-http-server/blob/3438a4c5f979bab95ff31d1ab1fad1407a122d65/built.sbt
141,0,384000,1,barodeur/projet_ilo,https://github.com/barodeur/projet_ilo/blob/1bedcd4b474d0f0fb0252fb7427d7a577ec10452/built.sbt
141,0,384000,1,LPTK/squid-examples,https://github.com/LPTK/squid-examples/blob/5e65bf1781c87ea7514be9e678c4c71dc5342e66/relation-dsl/built.sbt
141,0,384000,1,hugolu/learn-spark,https://github.com/hugolu/learn-spark/blob/55e6dc53f70073874a4c7f7a39bd2077050043a7/hadoop-spark/Recommend/built.sbt
141,0,384000,1,niuyuhan/TwitterStock,https://github.com/niuyuhan/TwitterStock/blob/4a64b0b1c26d54acb21f2b58a1c35746bb301173/SparkStreamingConsumer/built.sbt
141,0,384000,1,MagikarpBot/scala-akka-tictactoe,https://github.com/MagikarpBot/scala-akka-tictactoe/blob/c8f24efb12a5bee4b610d3a04180b504fa1e44e4/built.sbt
141,0,384000,1,hstraub/simple-block-parser,https://github.com/hstraub/simple-block-parser/blob/1153e20a255cd4063056df05d791664b1febfab7/built.sbt
141,0,384000,1,rxin/spark-template,https://github.com/rxin/spark-template/blob/16920b204d955aa016ee98e8d4fa3da51e8ef371/built.sbt
141,0,384000,1,hstraub/statistics,https://github.com/hstraub/statistics/blob/3120e44632955da4371acc1e7b841621df6b3d24/built.sbt
141,0,384000,1,AlvaroCaste/bowlingkata,https://github.com/AlvaroCaste/bowlingkata/blob/acd2a2e8e8f82a077d2e018ea14f6dc22690ca7c/built.sbt
141,0,384000,1,kunkun-tang/SparkSkyline,https://github.com/kunkun-tang/SparkSkyline/blob/19efa7b6c22b45903c701ae854abdfca3043847f/built.sbt
141,0,384000,1,kudlondr/Payola-visual,https://github.com/kudlondr/Payola-visual/blob/3afb046a1c7cfaac197f26da1da9d750974ba62b/payola/project/built.sbt
141,0,384000,1,epfldata/sc-public,https://github.com/epfldata/sc-public/blob/30ef759d5ad9db63d2fb4418f613399f3d362b9a/relation-dsl-squid/built.sbt
141,0,384000,1,joriscode/super-winner,https://github.com/joriscode/super-winner/blob/b1284e81e792b542cfe00e660b1d98f387c44487/built.sbt
141,0,384000,1,markfarrell/graph-visualization,https://github.com/markfarrell/graph-visualization/blob/f1e7b690fe6bad974f3f8f02d599ad57d530a1d3/built.sbt
141,0,384000,1,richardpianka/yahtzee,https://github.com/richardpianka/yahtzee/blob/751c205844f829363f45cc7a28750aa8463255df/built.sbt
141,0,384000,1,ScalaIO/scala-twitter,https://github.com/ScalaIO/scala-twitter/blob/628ef8943498b055584bb3ce797fcb5484001733/built.sbt
141,0,384000,1,visernchua/Tetris-Scala,https://github.com/visernchua/Tetris-Scala/blob/244b000011b209b0ce97a94c54bff4875a2ec77d/built.sbt
141,0,384000,1,martin-riedl/ftse-lares,https://github.com/martin-riedl/ftse-lares/blob/e7877b1adc09020d166a25ffb22a3dcfa10c9d33/built.sbt
