components,sha_data,stargazers_count,pushed_at,Ant,http://org.softlang.com/Folder,http://org.softlang.com/manifestsAs,created_at,language,repository,Folder,http://org.softlang.com/xmlns,updated_at,http://org.softlang.com/OSGiProject,state,uniform_build,http://org.softlang.com/XML,http://org.softlang.com/File,duplicates,maven,http://org.softlang.com/Manifest,Manifest,sha,Pom,http://org.softlang.com/Java,size,http://org.softlang.com/partOf,http://org.softlang.com/elementOf,default_branch,time,Gradle,watchers_count,File,forks_count,http://org.softlang.com/refOccurs
0,2018-07-26T15:40:33Z,3725,2018-07-26T16:05:39Z,0.0,787,4749,2012-09-13T11:34:43Z,Java,Activiti/Activiti,787,3905,2018-07-26T15:40:40Z,1,done,False,1183,3962,0,9,1,1.0,16a5e9ec2d6de63c23594ba1d928b010e2e82390,1.0,2308,93174,4748,3493,develop,7154,0.0,3725,3962,2734,
0,2018-07-26T15:16:28Z,3578,2018-07-26T22:15:11Z,0.0,699,3242,2012-12-21T17:43:46Z,Java,Alluxio/alluxio,699,78,2018-07-26T16:33:42Z,,done,True,49,2543,0,30,,0.0,9306cbfc76beacdad55d77ca8d855201bd393e72,1.0,1637,90361,3241,1686,master,2408,0.0,3578,2543,1911,
0,2018-07-12T07:29:46Z,4523,2018-07-25T09:01:08Z,0.0,207,598,2011-03-07T13:41:46Z,Java,AsyncHttpClient/async-http-client,207,26,2018-07-26T14:32:20Z,,done,True,14,391,0,13,,0.0,72ed867969dd92a3888832bd5cab72c39160052d,1.0,351,17742,597,365,master,1151,0.0,4523,391,1276,
0,2018-07-20T15:28:44Z,3180,2018-07-20T16:30:18Z,0.0,76,451,2010-06-30T14:26:23Z,Java,Atmosphere/atmosphere,76,18,2018-07-26T09:37:42Z,,done,True,13,375,0,8,,0.0,aaced02e1d44bc5bc2d1904b67cf402e91f07966,1.0,348,109303,450,361,master,981,0.0,3180,375,695,
0,2017-02-04T08:41:15Z,9421,2018-05-11T07:55:32Z,0.0,45,146,2012-11-24T00:14:41Z,Java,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,45,5,2018-07-26T17:56:21Z,,done,False,2,101,0,1,,0.0,cdfac751e51e18607b67d6ca3794a8d703863aa9,1.0,89,284,145,91,master,915,1.0,9421,101,462,
0,2018-07-26T13:46:51Z,4342,2018-07-26T13:46:55Z,0.0,917,4416,2010-05-17T21:27:02Z,Java,Graylog2/graylog2-server,917,20,2018-07-26T13:46:56Z,,done,True,15,3499,0,8,,0.0,07766b973f9c486e78668bfdfd4e206946ccf84f,1.0,2048,82551,4415,2063,master,4486,0.0,4342,3499,658,
0,2014-12-20T02:23:02Z,7301,2015-12-17T17:54:50Z,0.0,209,1077,2011-03-07T17:28:54Z,Java,JakeWharton/ActionBarSherlock,209,163,2018-07-26T04:37:20Z,,done,False,241,868,0,10,,0.0,2c71339e756bcc0b1424c4525680549ba3a2dc97,1.0,158,21244,1076,399,master,1399,1.0,7301,868,3910,
0,2016-06-01T14:27:39Z,4489,2017-11-27T03:19:41Z,0.0,12,27,2012-01-05T00:36:34Z,Java,JakeWharton/DiskLruCache,12,2,2018-07-26T02:16:38Z,,done,True,3,15,0,1,,0.0,3e016356cfc7e5f9644a7a732fe0223e9742e024,1.0,5,416,26,8,master,874,0.0,4489,15,1036,
0,2014-12-20T02:24:56Z,4410,2016-04-23T04:31:21Z,0.0,25,103,2011-12-08T19:46:37Z,Java,JakeWharton/NineOldAndroids,25,24,2018-07-26T09:15:18Z,,done,True,23,78,0,3,,0.0,d582f0ec8e79013e9fa96c07986160b52e662e63,1.0,47,1207,102,70,master,849,0.0,4410,78,1653,
0,2012-09-12T16:08:57Z,9846,2017-11-26T17:13:46Z,0.0,28,182,2011-08-04T17:13:44Z,Java,JakeWharton/ViewPagerIndicator,28,34,2018-07-26T14:10:58Z,,done,True,32,154,0,3,,0.0,8cd549f23f3d20ff920e19a2345c54983f65e26b,1.0,42,8657,181,74,master,835,0.0,9846,154,4289,
0,2018-05-05T05:12:32Z,5748,2018-06-07T01:58:04Z,0.0,499,800,2017-02-06T07:02:25Z,Java,JeffLi1993/springboot-learning-example,499,70,2018-07-26T16:47:11Z,,done,True,42,301,0,30,,0.0,435b375e8a224d717fd3095851da3baaa659c54e,1.0,191,256,799,233,master,1080,0.0,5748,301,3186,
0,2018-05-30T20:52:24Z,3646,2018-05-30T20:52:29Z,0.0,41,518,2011-05-16T16:49:57Z,Java,JodaOrg/joda-time,41,4,2018-07-26T08:34:58Z,,done,True,60,477,0,1,,0.0,5f98d636174cc0c6b76c9f434ee17e2b36577414,1.0,330,10595,517,390,master,1257,0.0,3646,477,759,
0,2018-07-25T16:01:21Z,4583,2018-07-26T14:51:46Z,0.0,209,1353,2014-12-04T02:46:54Z,Java,MyCATApache/Mycat-Server,209,17,2018-07-26T15:51:45Z,,done,True,31,1144,0,1,,0.0,c7600d74993e2a519997c8ac7c3d55b35b9425e7,1.0,1013,17043,1352,1044,1.6,2125,0.0,4583,1144,2725,
0,2018-07-14T12:26:03Z,4339,2018-07-14T12:26:04Z,0.0,140,376,2012-09-05T05:56:24Z,Java,NLPchina/ansj_seg,140,18,2018-07-26T12:05:42Z,,done,True,9,236,0,8,,0.0,6cc17ad21a9acbf95b4c26e76bc52f821a5516da,1.0,194,353700,375,203,master,1405,0.0,4339,236,1980,
0,2018-04-06T14:30:44Z,3931,2018-06-27T00:10:24Z,0.0,147,305,2012-08-10T21:52:42Z,Java,NanoHttpd/nanohttpd,147,28,2018-07-26T14:34:05Z,,done,False,28,158,0,14,,0.0,fd80618e93d17f8f05e11006eaa048a22213714d,1.0,87,1337,304,115,master,1044,1.0,3931,158,1202,
0,2018-06-06T07:14:41Z,23373,2018-07-25T16:55:03Z,0.0,73,487,2014-04-25T14:29:47Z,Java,PhilJay/MPAndroidChart,73,62,2018-07-26T19:43:54Z,,done,False,69,414,0,1,,0.0,c1f6fcebf0c3516e067b34312b283189f909bde5,1.0,234,20984,486,303,master,1119,1.0,23373,414,6324,
0,2018-07-26T21:55:09Z,11279,2018-07-26T21:56:15Z,0.0,779,6415,2013-01-14T21:40:56Z,Java,SeleniumHQ/selenium,779,69,2018-07-26T21:56:34Z,,done,True,164,5636,0,1,,0.0,e910737a9cee6cd7ad0f442bc943997ee9674683,1.0,1290,1599873,6414,1454,master,15490,0.0,11279,5636,4131,
0,2018-07-24T09:17:58Z,3522,2018-07-24T09:17:59Z,0.0,514,2101,2017-04-25T05:57:43Z,Java,Tencent/angel,514,28,2018-07-26T15:03:46Z,,done,True,22,1587,0,13,,0.0,9cbd972caa4b018dd43d85465c5ce14cf11768e8,1.0,817,41397,2100,839,master,3111,0.0,3522,1587,888,
0,2018-07-25T20:27:20Z,4214,2018-07-25T20:27:21Z,1.0,36,166,2010-01-20T23:33:04Z,Java,TooTallNate/Java-WebSocket,36,2,2018-07-26T10:58:21Z,,done,False,3,130,0,1,,0.0,7bdd22d61615e4d420e1731ddb4acbfdcc2605d6,1.0,116,3290,165,119,master,1265,1.0,4214,130,1426,
