http://org.softlang.com/EcorePackageGenmodel,stargazers_count,pushed_at,http://org.softlang.com/EcorePackageXMI,http://org.softlang.com/Folder,language,repository,http://org.softlang.com/Ant,genmodel,http://org.softlang.com/qegal/EJ3,http://org.softlang.com/Pom,http://org.softlang.com/Gradle,http://org.softlang.com/EcorePackageJava,state,http://org.softlang.com/File,http://org.softlang.com/EcoreClassifierJava,http://org.softlang.com/EcoreClassifierXMI,duplicates,http://org.softlang.com/qegal/E,http://org.softlang.com/qegal/G,http://org.softlang.com/Ecore,sha,http://org.softlang.com/correspondsTo,eobject,http://org.softlang.com/qegal/J,size,http://org.softlang.com/partOf,ecore,default_branch,components,sha_data,http://org.softlang.com/manifestsAs,created_at,http://org.softlang.com/Genmodel,http://org.softlang.com/uri,updated_at,http://org.softlang.com/EcoreFactoryJava,http://org.softlang.com/name,http://org.softlang.com/OSGiProject,uniform_build,http://org.softlang.com/XML,http://org.softlang.com/nsUri,http://org.softlang.com/Manifest,http://org.softlang.com/refOccurs,http://org.softlang.com/Java,http://org.softlang.com/elementOf,time,watchers_count,http://org.softlang.com/nsPrefix,forks_count,http://org.softlang.com/refersTo,exception_in_process,http://org.softlang.com/qegal/EJc2,http://org.softlang.com/qegal/EJ1,http://org.softlang.com/qegal/EE
1,0.0,2018-02-06T20:54:57Z,1,176.0,Java,Andre335/CCompiler,0.0,1.0,1,0.0,0.0,1,done,254.0,7,7,0.0,1,1,1,6fe0a4fe5fd840585fabada5ced65feaefc7c7df,8,3.0,1,1561.0,479,1.0,master,1.0,2018-02-06T20:51:44Z,471,2018-02-06T20:53:34Z,1,14,2018-02-06T20:54:58Z,1,7,5,True,16,10,1.0,38,56,102,752,0.0,1,0.0,,,,,
1,0.0,2016-12-02T09:30:19Z,1,8.0,Java,RobinSegura/mdi,0.0,1.0,1,0.0,0.0,1,done,33.0,8,8,0.0,1,1,1,0706c960aeebbbc93b1030bd65f2cf7cf145be0f,9,3.0,1,19.0,91,1.0,master,1.0,2016-12-02T09:26:19Z,82,2016-12-02T09:27:49Z,1,16,2016-12-02T09:30:20Z,1,8,1,True,6,11,1.0,3,23,53,632,0.0,1,0.0,1,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,org.eclipse.jgit.dircache.InvalidPathException: Invalid path: Implementacion/bin/co/edu/uniandes/badSmellsChecker/models/Working: 2_InputToVisualizationData.etl.model,,,
1,0.0,2015-12-03T00:30:07Z,1,80.0,Java,nandakumarrbk/BDI_Model,0.0,1.0,1,0.0,0.0,1,done,132.0,21,29,0.0,1,1,1,5c9249cd60b1aa6060936af06f83e1780549dc2a,22,17.0,1,1738.0,283,1.0,master,1.0,2015-12-03T00:30:04Z,253,2015-10-17T04:28:18Z,1,50,2015-11-13T03:44:18Z,1,29,3,True,16,32,1.0,28,71,149,719,0.0,1,0.0,,,1,,
1,0.0,2014-03-26T12:00:21Z,1,77.0,Java,ainslec/XTextCustomLexerExample,0.0,1.0,1,0.0,0.0,1,done,109.0,4,4,0.0,1,1,1,abf17d80dae03e6ad54b34b04b6e1cb60346276c,5,2.0,1,220.0,232,1.0,master,1.0,2014-03-26T12:00:21Z,227,2013-04-14T22:49:08Z,1,8,2014-03-26T12:00:21Z,1,4,3,True,15,7,1.0,28,50,85,626,0.0,1,1.0,,,,,
1,9.0,2012-11-08T11:29:38Z,1,47.0,Java,robotframework/JoyRide,0.0,1.0,,0.0,0.0,,done,48.0,,28,0.0,1,1,1,34c202ef531c8a08aa2e5e11b49fbcbd7c700ecb,,0.0,,231.0,165,1.0,master,1.0,2012-11-08T11:29:37Z,136,2012-04-05T07:05:38Z,1,28,2014-04-29T12:30:06Z,,28,3,True,14,29,1.0,32,16,68,672,9.0,1,4.0,,,,1,
2,0.0,2017-11-14T17:56:17Z,3,49.0,Java,tetrabox/statemachines,0.0,2.0,3,0.0,0.0,3,done,91.0,16,16,0.0,3,2,2,da615353b6ef756e67a7baeb8d7fd46178278bd9,19,5.0,3,120.0,201,2.0,master,1.0,2017-11-14T17:56:14Z,181,2017-11-14T16:45:07Z,2,32,2017-11-14T16:46:51Z,3,16,5,True,21,25,1.0,39,49,127,633,0.0,3,0.0,2,,,,
1,0.0,2017-12-30T00:09:51Z,1,74.0,Java,abelgomez/publish-subscribe,0.0,1.0,1,0.0,0.0,1,done,161.0,15,15,0.0,1,1,1,5c0dc035d63d21968008937dc524b571beaad556,16,10.0,1,7464.0,293,1.0,master,1.0,2017-12-30T00:09:45Z,277,2016-09-23T14:00:51Z,1,30,2017-12-29T23:16:18Z,1,15,5,True,34,18,1.0,27,51,131,703,0.0,1,0.0,1,,,,
1,0.0,2013-12-21T17:32:04Z,1,34.0,Java,ms0828600/modelEng04,0.0,1.0,1,0.0,0.0,1,done,72.0,16,16,0.0,1,1,1,e4c9b6a584f10276e4d917259c8196e869ea9fd2,17,7.0,1,288.0,164,1.0,master,1.0,2013-12-21T17:31:57Z,147,2013-12-21T11:11:47Z,1,32,2013-12-21T17:32:05Z,1,16,2,True,9,19,1.0,15,44,95,626,0.0,1,0.0,1,,,,
3,0.0,2017-04-25T11:12:00Z,3,361.0,Java,pricsi/Dipterv,0.0,3.0,3,0.0,0.0,3,done,2186.0,137,137,0.0,3,3,3,1be6ebf3d868379683ccfd5fdb54fe930b2b4932,140,11.0,3,6209.0,2730,3.0,master,1.0,2017-04-25T11:11:49Z,2588,2017-03-16T12:41:56Z,3,274,2017-03-16T12:51:20Z,3,137,16,True,71,146,1.0,134,601,996,2266,0.0,3,0.0,3,,,,
"",0.0,2017-10-13T09:50:18Z,1,39.0,Java,Heimanshu/himanshuJoshi,0.0,0.0,,0.0,0.0,,done,197.0,,3,0.0,1,,1,43433bc0610a900713bfee64b0cd3113ca96d00f,,0.0,,8377.0,290,1.0,ApplicationConditions,1.0,2017-02-06T07:38:35Z,287,2017-10-13T09:48:24Z,,3,2017-10-13T09:50:23Z,,3,1,True,13,4,1.0,3,81,101,953,0.0,1,0.0,,,,1,
1,0.0,2013-09-21T21:02:59Z,1,52.0,Java,ckrause/transformr,0.0,1.0,1,0.0,0.0,1,done,270.0,28,28,0.0,1,1,1,afec24fee3344476af1e950a45918665737ec2ad,29,3.0,1,7532.0,392,1.0,master,1.0,2013-09-21T21:02:54Z,363,2013-09-03T18:47:49Z,1,56,2014-05-21T19:06:33Z,1,28,5,True,16,31,1.0,16,122,210,825,0.0,1,0.0,1,,,,
"",0.0,2015-12-23T19:10:51Z,1,27.0,Java,Anouaman/TheSiriusStuff,0.0,0.0,,0.0,0.0,,done,27.0,,16,0.0,1,,1,bca39d28e0fc2714c0ce74d5de3399f694272dab,,0.0,,416.0,111,1.0,master,1.0,2015-12-23T19:10:51Z,95,2015-12-23T18:00:13Z,,16,2015-12-23T18:57:22Z,,16,2,True,10,17,1.0,7,2,34,609,0.0,1,1.0,,,,1,
"",0.0,2015-12-03T21:28:43Z,1,25.0,Java,masters-info-nantes/sirius-black,0.0,0.0,,0.0,0.0,,done,18.0,,16,0.0,1,,1,ed5beec6afc800cb1c2faa7376c35762bb92a595,,0.0,,427.0,100,1.0,master,1.0,2015-12-03T21:28:37Z,84,2015-11-23T18:15:32Z,,16,2015-11-29T22:24:00Z,,16,2,True,5,17,1.0,7,2,29,631,0.0,1,0.0,,,,1,
1,0.0,2015-05-28T04:23:38Z,1,23.0,Java,talitalopes/GraphitiChess,0.0,1.0,1,0.0,0.0,1,done,49.0,7,7,0.0,1,1,1,d16d9dc0bdd70b4cd8880e44055f704a9770f18e,8,6.0,1,180.0,119,1.0,master,1.0,2015-05-28T04:23:23Z,111,2015-05-28T04:15:45Z,1,14,2015-05-28T04:23:40Z,1,7,1,True,6,10,1.0,5,29,57,625,0.0,1,0.0,1,,,,
1,1.0,2012-05-14T08:24:01Z,1,59.0,Java,atanaka/experimental-rmodp-dsl,0.0,1.0,1,0.0,0.0,1,done,195.0,63,63,0.0,1,1,1,88c0584e97b2d5fb302ec59b3907151fc81f1615,64,45.0,1,724.0,359,1.0,master,1.0,2012-05-14T08:23:05Z,295,2012-05-13T13:55:37Z,1,126,2013-11-10T17:11:14Z,1,63,2,True,13,66,1.0,24,163,312,625,1.0,1,0.0,,,,,
