repository,maven,stargazers_count,forks_count,watchers_count,size,default_branch,language,created_at,updated_at,pushed_at,sha,sha_data,components,duplicates,time,state,Folder,File,Manifest,Pom,Gradle,Ant,uniform_build
Activiti/Activiti,9,3725,2734,3725,93174,develop,Java,2012-09-13T11:34:43Z,2018-07-26T15:40:40Z,2018-07-26T16:05:39Z,16a5e9ec2d6de63c23594ba1d928b010e2e82390,2018-07-26T15:40:33Z,0,0,7154,done,787,3962,1.0,1.0,0.0,0.0,False
Alluxio/alluxio,30,3578,1911,3578,90361,master,Java,2012-12-21T17:43:46Z,2018-07-26T16:33:42Z,2018-07-26T22:15:11Z,9306cbfc76beacdad55d77ca8d855201bd393e72,2018-07-26T15:16:28Z,0,0,2408,done,699,2543,0.0,1.0,0.0,0.0,True
AsyncHttpClient/async-http-client,13,4523,1276,4523,17742,master,Java,2011-03-07T13:41:46Z,2018-07-26T14:32:20Z,2018-07-25T09:01:08Z,72ed867969dd92a3888832bd5cab72c39160052d,2018-07-12T07:29:46Z,0,0,1151,done,207,391,0.0,1.0,0.0,0.0,True
Atmosphere/atmosphere,8,3180,695,3180,109303,master,Java,2010-06-30T14:26:23Z,2018-07-26T09:37:42Z,2018-07-20T16:30:18Z,aaced02e1d44bc5bc2d1904b67cf402e91f07966,2018-07-20T15:28:44Z,0,0,981,done,76,375,0.0,1.0,0.0,0.0,True
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,1,9421,462,9421,284,master,Java,2012-11-24T00:14:41Z,2018-07-26T17:56:21Z,2018-05-11T07:55:32Z,cdfac751e51e18607b67d6ca3794a8d703863aa9,2017-02-04T08:41:15Z,0,0,915,done,45,101,0.0,1.0,1.0,0.0,False
Graylog2/graylog2-server,8,4342,658,4342,82551,master,Java,2010-05-17T21:27:02Z,2018-07-26T13:46:56Z,2018-07-26T13:46:55Z,07766b973f9c486e78668bfdfd4e206946ccf84f,2018-07-26T13:46:51Z,0,0,4486,done,917,3499,0.0,1.0,0.0,0.0,True
JakeWharton/ActionBarSherlock,10,7301,3910,7301,21244,master,Java,2011-03-07T17:28:54Z,2018-07-26T04:37:20Z,2015-12-17T17:54:50Z,2c71339e756bcc0b1424c4525680549ba3a2dc97,2014-12-20T02:23:02Z,0,0,1399,done,209,868,0.0,1.0,1.0,0.0,False
JakeWharton/DiskLruCache,1,4489,1036,4489,416,master,Java,2012-01-05T00:36:34Z,2018-07-26T02:16:38Z,2017-11-27T03:19:41Z,3e016356cfc7e5f9644a7a732fe0223e9742e024,2016-06-01T14:27:39Z,0,0,874,done,12,15,0.0,1.0,0.0,0.0,True
JakeWharton/NineOldAndroids,3,4410,1653,4410,1207,master,Java,2011-12-08T19:46:37Z,2018-07-26T09:15:18Z,2016-04-23T04:31:21Z,d582f0ec8e79013e9fa96c07986160b52e662e63,2014-12-20T02:24:56Z,0,0,849,done,25,78,0.0,1.0,0.0,0.0,True
JakeWharton/ViewPagerIndicator,3,9846,4289,9846,8657,master,Java,2011-08-04T17:13:44Z,2018-07-26T14:10:58Z,2017-11-26T17:13:46Z,8cd549f23f3d20ff920e19a2345c54983f65e26b,2012-09-12T16:08:57Z,0,0,835,done,28,154,0.0,1.0,0.0,0.0,True
JeffLi1993/springboot-learning-example,30,5748,3186,5748,256,master,Java,2017-02-06T07:02:25Z,2018-07-26T16:47:11Z,2018-06-07T01:58:04Z,435b375e8a224d717fd3095851da3baaa659c54e,2018-05-05T05:12:32Z,0,0,1080,done,499,301,0.0,1.0,0.0,0.0,True
JodaOrg/joda-time,1,3646,759,3646,10595,master,Java,2011-05-16T16:49:57Z,2018-07-26T08:34:58Z,2018-05-30T20:52:29Z,5f98d636174cc0c6b76c9f434ee17e2b36577414,2018-05-30T20:52:24Z,0,0,1257,done,41,477,0.0,1.0,0.0,0.0,True
MyCATApache/Mycat-Server,1,4583,2725,4583,17043,1.6,Java,2014-12-04T02:46:54Z,2018-07-26T15:51:45Z,2018-07-26T14:51:46Z,c7600d74993e2a519997c8ac7c3d55b35b9425e7,2018-07-25T16:01:21Z,0,0,2125,done,209,1144,0.0,1.0,0.0,0.0,True
NLPchina/ansj_seg,8,4339,1980,4339,353700,master,Java,2012-09-05T05:56:24Z,2018-07-26T12:05:42Z,2018-07-14T12:26:04Z,6cc17ad21a9acbf95b4c26e76bc52f821a5516da,2018-07-14T12:26:03Z,0,0,1405,done,140,236,0.0,1.0,0.0,0.0,True
NanoHttpd/nanohttpd,14,3931,1202,3931,1337,master,Java,2012-08-10T21:52:42Z,2018-07-26T14:34:05Z,2018-06-27T00:10:24Z,fd80618e93d17f8f05e11006eaa048a22213714d,2018-04-06T14:30:44Z,0,0,1044,done,147,158,0.0,1.0,1.0,0.0,False
PhilJay/MPAndroidChart,1,23373,6324,23373,20984,master,Java,2014-04-25T14:29:47Z,2018-07-26T19:43:54Z,2018-07-25T16:55:03Z,c1f6fcebf0c3516e067b34312b283189f909bde5,2018-06-06T07:14:41Z,0,0,1119,done,73,414,0.0,1.0,1.0,0.0,False
SeleniumHQ/selenium,1,11279,4131,11279,1599873,master,Java,2013-01-14T21:40:56Z,2018-07-26T21:56:34Z,2018-07-26T21:56:15Z,e910737a9cee6cd7ad0f442bc943997ee9674683,2018-07-26T21:55:09Z,0,0,15490,done,779,5636,0.0,1.0,0.0,0.0,True
Tencent/angel,13,3522,888,3522,41397,master,Java,2017-04-25T05:57:43Z,2018-07-26T15:03:46Z,2018-07-24T09:17:59Z,9cbd972caa4b018dd43d85465c5ce14cf11768e8,2018-07-24T09:17:58Z,0,0,3111,done,514,1587,0.0,1.0,0.0,0.0,True
TooTallNate/Java-WebSocket,1,4214,1426,4214,3290,master,Java,2010-01-20T23:33:04Z,2018-07-26T10:58:21Z,2018-07-25T20:27:21Z,7bdd22d61615e4d420e1731ddb4acbfdcc2605d6,2018-07-25T20:27:20Z,0,0,1265,done,36,130,0.0,1.0,1.0,1.0,False
Trinea/android-common,1,4745,2765,4745,1400,master,Java,2012-06-19T07:49:46Z,2018-07-25T10:07:07Z,2017-05-16T16:03:36Z,43ebcee553a970922afd0d822959f99dba84b8f4,2016-10-31T12:30:28Z,0,0,1322,done,23,96,0.0,1.0,0.0,0.0,True
