created_at,default_branch,ecore,eobject,forks_count,genmodel,language,pushed_at,repository,sha,sha_data,size,stargazers_count,updated_at,watchers_count,components,duplicates,time,state,http://org.softlang.com/Folder,http://org.softlang.com/File,http://org.softlang.com/Manifest,http://org.softlang.com/Pom,http://org.softlang.com/Gradle,http://org.softlang.com/Ant,uniform_build
2018-02-06T20:53:34Z,master,1.0,3.0,0.0,1.0,Java,2018-02-06T20:54:57Z,Andre335/CCompiler,6fe0a4fe5fd840585fabada5ced65feaefc7c7df,2018-02-06T20:51:44Z,1561.0,0.0,2018-02-06T20:54:58Z,0.0,1.0,0.0,752,done,176.0,254.0,1.0,0.0,0.0,0.0,True
2016-12-02T09:27:49Z,master,1.0,3.0,0.0,1.0,Java,2016-12-02T09:30:19Z,RobinSegura/mdi,0706c960aeebbbc93b1030bd65f2cf7cf145be0f,2016-12-02T09:26:19Z,19.0,0.0,2016-12-02T09:30:20Z,0.0,1.0,0.0,632,done,8.0,33.0,1.0,0.0,0.0,0.0,True
2016-06-16T16:08:58Z,master,6.0,0.0,1.0,2.0,Java,2017-06-01T22:44:34Z,NicolasBonet/ETLMetrics,af8d3ab802b59aa32ff39bf1361b88a6a90acbdd,2017-06-01T22:44:27Z,68321.0,1.0,2017-07-12T20:56:02Z,1.0,1.0,0.0,1063,done,38.0,414.0,1.0,0.0,0.0,0.0,True
2015-10-17T04:28:18Z,master,1.0,17.0,0.0,1.0,Java,2015-12-03T00:30:07Z,nandakumarrbk/BDI_Model,5c9249cd60b1aa6060936af06f83e1780549dc2a,2015-12-03T00:30:04Z,1738.0,0.0,2015-11-13T03:44:18Z,0.0,1.0,0.0,719,done,80.0,132.0,1.0,0.0,0.0,0.0,True
2013-04-14T22:49:08Z,master,1.0,2.0,1.0,1.0,Java,2014-03-26T12:00:21Z,ainslec/XTextCustomLexerExample,abf17d80dae03e6ad54b34b04b6e1cb60346276c,2014-03-26T12:00:21Z,220.0,0.0,2014-03-26T12:00:21Z,0.0,1.0,0.0,626,done,77.0,109.0,1.0,0.0,0.0,0.0,True
2012-04-05T07:05:38Z,master,1.0,0.0,4.0,1.0,Java,2012-11-08T11:29:38Z,robotframework/JoyRide,34c202ef531c8a08aa2e5e11b49fbcbd7c700ecb,2012-11-08T11:29:37Z,231.0,9.0,2014-04-29T12:30:06Z,9.0,1.0,0.0,672,done,47.0,48.0,1.0,0.0,0.0,0.0,True
2017-11-14T16:45:07Z,master,2.0,5.0,0.0,2.0,Java,2017-11-14T17:56:17Z,tetrabox/statemachines,da615353b6ef756e67a7baeb8d7fd46178278bd9,2017-11-14T17:56:14Z,120.0,0.0,2017-11-14T16:46:51Z,0.0,1.0,0.0,633,done,49.0,91.0,1.0,0.0,0.0,0.0,True
2016-09-23T14:00:51Z,master,1.0,10.0,0.0,1.0,Java,2017-12-30T00:09:51Z,abelgomez/publish-subscribe,5c0dc035d63d21968008937dc524b571beaad556,2017-12-30T00:09:45Z,7464.0,0.0,2017-12-29T23:16:18Z,0.0,1.0,0.0,703,done,74.0,161.0,1.0,0.0,0.0,0.0,True
2013-12-21T11:11:47Z,master,1.0,7.0,0.0,1.0,Java,2013-12-21T17:32:04Z,ms0828600/modelEng04,e4c9b6a584f10276e4d917259c8196e869ea9fd2,2013-12-21T17:31:57Z,288.0,0.0,2013-12-21T17:32:05Z,0.0,1.0,0.0,626,done,34.0,72.0,1.0,0.0,0.0,0.0,True
2017-03-16T12:41:56Z,master,3.0,11.0,0.0,3.0,Java,2017-04-25T11:12:00Z,pricsi/Dipterv,1be6ebf3d868379683ccfd5fdb54fe930b2b4932,2017-04-25T11:11:49Z,6209.0,0.0,2017-03-16T12:51:20Z,0.0,1.0,0.0,2266,done,361.0,2186.0,1.0,0.0,0.0,0.0,True
2017-10-13T09:48:24Z,ApplicationConditions,1.0,0.0,0.0,0.0,Java,2017-10-13T09:50:18Z,Heimanshu/himanshuJoshi,43433bc0610a900713bfee64b0cd3113ca96d00f,2017-02-06T07:38:35Z,8377.0,0.0,2017-10-13T09:50:23Z,0.0,1.0,0.0,953,done,39.0,197.0,1.0,0.0,0.0,0.0,True
2013-09-03T18:47:49Z,master,1.0,3.0,0.0,1.0,Java,2013-09-21T21:02:59Z,ckrause/transformr,afec24fee3344476af1e950a45918665737ec2ad,2013-09-21T21:02:54Z,7532.0,0.0,2014-05-21T19:06:33Z,0.0,1.0,0.0,825,done,52.0,270.0,1.0,0.0,0.0,0.0,True
2015-12-23T18:00:13Z,master,1.0,0.0,1.0,0.0,Java,2015-12-23T19:10:51Z,Anouaman/TheSiriusStuff,bca39d28e0fc2714c0ce74d5de3399f694272dab,2015-12-23T19:10:51Z,416.0,0.0,2015-12-23T18:57:22Z,0.0,1.0,0.0,609,done,27.0,27.0,1.0,0.0,0.0,0.0,True
2015-11-23T18:15:32Z,master,1.0,0.0,0.0,0.0,Java,2015-12-03T21:28:43Z,masters-info-nantes/sirius-black,ed5beec6afc800cb1c2faa7376c35762bb92a595,2015-12-03T21:28:37Z,427.0,0.0,2015-11-29T22:24:00Z,0.0,1.0,0.0,631,done,25.0,18.0,1.0,0.0,0.0,0.0,True
2015-05-28T04:15:45Z,master,1.0,6.0,0.0,1.0,Java,2015-05-28T04:23:38Z,talitalopes/GraphitiChess,d16d9dc0bdd70b4cd8880e44055f704a9770f18e,2015-05-28T04:23:23Z,180.0,0.0,2015-05-28T04:23:40Z,0.0,1.0,0.0,625,done,23.0,49.0,1.0,0.0,0.0,0.0,True
2012-05-13T13:55:37Z,master,1.0,45.0,0.0,1.0,Java,2012-05-14T08:24:01Z,atanaka/experimental-rmodp-dsl,88c0584e97b2d5fb302ec59b3907151fc81f1615,2012-05-14T08:23:05Z,724.0,1.0,2013-11-10T17:11:14Z,1.0,1.0,0.0,625,done,59.0,195.0,1.0,0.0,0.0,0.0,True
2014-01-05T13:17:28Z,master,2.0,0.0,0.0,2.0,Xtend,2014-01-06T04:17:20Z,XtextHaskell/language.common,6c1a46e7be040c8091f81b981029c970acf3132b,2014-01-06T04:17:07Z,156.0,0.0,2014-01-06T04:17:20Z,0.0,1.0,0.0,641,done,61.0,88.0,1.0,0.0,0.0,0.0,True
2013-10-18T11:51:17Z,master,1.0,4.0,0.0,1.0,Java,2013-11-19T21:10:01Z,joe-hache/IDM_Arduino_Polytech,28d3e854cf354f8d7a772c33252bdb1c45d46123,2013-11-19T21:09:59Z,252.0,0.0,2013-11-19T21:14:37Z,0.0,1.0,0.0,703,done,22.0,79.0,1.0,0.0,0.0,0.0,True
2014-02-02T20:05:36Z,master,12.0,0.0,0.0,12.0,Xtend,2016-04-28T15:43:14Z,jacruzca/modev,8b7357b309c98f1a287a0e02241499ff997dbfa3,2014-07-18T00:05:01Z,2163.0,0.0,2017-11-08T03:00:24Z,0.0,1.0,0.0,1125,done,506.0,610.0,1.0,0.0,0.0,0.0,True
2017-09-11T20:03:37Z,master,1.0,7.0,0.0,1.0,Java,2017-09-11T20:07:41Z,xbitres/blendedTest,5e8597f44ed01464734061b6218a14831c25649e,2017-09-11T20:07:08Z,31625.0,0.0,2017-09-11T20:07:45Z,0.0,1.0,0.0,1703,done,556.0,941.0,1.0,0.0,0.0,0.0,True
2014-12-24T04:39:23Z,master,1.0,5.0,0.0,1.0,Java,2014-12-24T06:50:28Z,helunwencser/PAOC,797ccd4f820f61ef2a01330b403ce9e35c9b5895,2014-12-24T06:36:35Z,2732.0,0.0,2015-12-21T08:38:19Z,0.0,1.0,0.0,844,done,137.0,484.0,1.0,0.0,0.0,0.0,True
2016-07-08T04:48:56Z,master,1.0,6.0,0.0,1.0,Java,2016-07-12T19:01:52Z,tdeinlein/bachelor_thesis,dbb60a7c81c8737a416105af8f7f54cedea3244b,2016-07-08T05:06:31Z,186386.0,0.0,2016-07-12T19:01:01Z,0.0,1.0,0.0,2298,done,175.0,369.0,1.0,0.0,0.0,0.0,True
