address,current,old,sample,id,repository_type
BenRhouma/AcceleoStandAlone,True,True,True,BenRhouma/AcceleoStandAlone,git
DevBoost/EMFText-Zoo,True,True,True,DevBoost/EMFText-Zoo,git
DevBoost/EMFTools,True,True,True,DevBoost/EMFTools,git
Doxxer/SPbAU-Fall-2014,True,True,True,Doxxer/SPbAU-Fall-2014,git
FTSRG/dse-merge,False,True,True,FTSRG/dse-merge,git
Frankablu/CATMOS,True,True,True,Frankablu/CATMOS,git
Jhonfck/DSL-EMFText-for-Eclipse,True,True,True,Jhonfck/DSL-EMFText-for-Eclipse,git
Maluen/acceleo-coevolution,True,True,True,Maluen/acceleo-coevolution,git
NIEM/NIEM-UML,True,True,True,NIEM/NIEM-UML,git
NokiPls/BramboAcceleo,True,True,True,NokiPls/BramboAcceleo,git
Tranxen200/FMUSim-Rodin,True,True,True,Tranxen200/FMUSim-Rodin,git
atlanmod/monoge,True,True,True,atlanmod/monoge,git
clagms/SyVOLTEditor,True,True,True,clagms/SyVOLTEditor,git
cvgaviao/EPF-Composer,True,True,True,cvgaviao/EPF-Composer,git
d3sreq/reprotool,True,True,True,d3sreq/reprotool,git
davidediruscio/evoss,True,True,True,davidediruscio/evoss,git
dpf-hq/dpf,True,True,True,dpf-hq/dpf,git
edna-site/edna-rcp,True,True,True,edna-site/edna-rcp,git
ejuliot/OrganizationChart-Designer,True,True,True,ejuliot/OrganizationChart-Designer,git
geosolutions-it/geotools-enterprise,True,True,True,geosolutions-it/geotools-enterprise,git
ghillairet/emf4sw,True,True,True,ghillairet/emf4sw,git
hamzaf16/JSEditorXtext,True,True,True,hamzaf16/JSEditorXtext,git
hezanathos/imogene,True,True,True,hezanathos/imogene,git
hugo-a-garcia/rodinia,True,True,True,hugo-a-garcia/rodinia,git
ilya-klyuchnikov/sll-xtext,True,True,True,ilya-klyuchnikov/sll-xtext,git
iron-phoenix/MPS,True,True,True,iron-phoenix/MPS,git
jmbruel/idm2014,True,True,True,jmbruel/idm2014,git
kiwi4boy/urml,True,True,True,kiwi4boy/urml,git
kolovos/sunrise,True,True,True,kolovos/sunrise,git
lukashaertel/xtext-xgen,True,True,True,lukashaertel/xtext-xgen,git
mabilov/meta,True,True,True,mabilov/meta,git
marianogili/TraceabilityEditor,True,True,True,marianogili/TraceabilityEditor,git
mcartaud/DSL-Eclipse-Generation,True,True,True,mcartaud/DSL-Eclipse-Generation,git
mdiansow/MDE-project,True,True,True,mdiansow/MDE-project,git
monsieurJess/jobtool,True,True,True,monsieurJess/jobtool,git
mpizenberg/GLS_PROJET,True,True,True,mpizenberg/GLS_PROJET,git
nlohmann/service-technology.org,True,True,True,nlohmann/service-technology.org,git
pavansn/soen-6441-team-8-incursion-defense-game,False,True,True,pavansn/soen-6441-team-8-incursion-defense-game,git
rfecher/geotools,True,True,True,rfecher/geotools,git
scribble/scribble-java,False,True,True,scribble/scribble-java,git
sefms-disi-unitn/Zanshin,True,True,True,sefms-disi-unitn/Zanshin,git
serhatGezgin/command-dsl,True,True,True,serhatGezgin/command-dsl,git
stevenreinisch/modulob,True,True,True,stevenreinisch/modulob,git
svenefftinge/xtext-jaxcon-example,True,True,True,svenefftinge/xtext-jaxcon-example,git
swmuir/mdht,True,True,True,swmuir/mdht,git
szarnekow/testing-multiple-dsls,True,True,True,szarnekow/testing-multiple-dsls,git
trileude/IMSE,True,True,True,trileude/IMSE,git
ustok/extgen,True,True,True,ustok/extgen,git
valeriocos/jbrex,True,True,True,valeriocos/jbrex,git
xcoulon/jbosstools-jsoneditor,True,True,True,xcoulon/jbosstools-jsoneditor,git
