repo,dependencyFile,url
apache/spark,https://github.com/apache/spark,https://github.com/apache/spark/blob/39e2bad6a866d27c3ca594d15e574a1da3ee84cc/sql/hive/src/test/scala/org/apache/spark/sql/hive/ClasspathDependenciesSuite.scala
playframework/playframework,https://github.com/playframework/playframework,https://github.com/playframework/playframework/blob/8ef9e47e1d0d877730a57d6b7d4312fe925bff92/framework/project/Dependencies.scala
prismagraphql/prisma,https://github.com/prismagraphql/prisma,https://github.com/prismagraphql/prisma/blob/9f547a04009aae724de2ba15219ba1b7149dd8f5/server/project/Dependencies.scala
prismagraphql/prisma,https://github.com/prismagraphql/prisma,https://github.com/prismagraphql/prisma/blob/a6e63f0f59d90abeffa915ac3b48b75ae9cbb03a/server/servers/workers/src/main/scala/com/prisma/workers/dependencies/WorkerDependencies.scala
prismagraphql/prisma,https://github.com/prismagraphql/prisma,https://github.com/prismagraphql/prisma/blob/3793579d542b04bec8430d190fed4d11b3b6cac7/server/servers/subscriptions/src/test/scala/com/prisma/subscriptions/TestSubscriptionDependencies.scala
prismagraphql/prisma,https://github.com/prismagraphql/prisma,https://github.com/prismagraphql/prisma/blob/e21910b1fafa834c94122ffca5c1dfb4ad48c377/server/servers/api/src/test/scala/com/prisma/api/TestApiDependencies.scala
prismagraphql/prisma,https://github.com/prismagraphql/prisma,https://github.com/prismagraphql/prisma/blob/e21910b1fafa834c94122ffca5c1dfb4ad48c377/server/servers/subscriptions/src/main/scala/com/prisma/subscriptions/SubscriptionDependenciesImpl.scala
prismagraphql/prisma,https://github.com/prismagraphql/prisma,https://github.com/prismagraphql/prisma/blob/e99bd14703ccdfee227d1fdc011cee898ac94158/server/servers/api/src/main/scala/com/prisma/api/ApiDependencies.scala
prismagraphql/prisma,https://github.com/prismagraphql/prisma,https://github.com/prismagraphql/prisma/blob/d3333f061c5b37d65d6a28c0048980f116c69c36/server/images/prisma-local/src/main/scala/com/prisma/local/PrismaLocalDependencies.scala
prismagraphql/prisma,https://github.com/prismagraphql/prisma,https://github.com/prismagraphql/prisma/blob/d3333f061c5b37d65d6a28c0048980f116c69c36/server/servers/deploy/src/test/scala/com/prisma/deploy/specutils/TestDeployDependencies.scala
prismagraphql/prisma,https://github.com/prismagraphql/prisma,https://github.com/prismagraphql/prisma/blob/95f27d07b941a79ea31788817167d43546128d73/server/images/prisma-prod/src/main/scala/com/prisma/prod/PrismaProdDependencies.scala
prismagraphql/prisma,https://github.com/prismagraphql/prisma,https://github.com/prismagraphql/prisma/blob/95f27d07b941a79ea31788817167d43546128d73/server/servers/deploy/src/main/scala/com/prisma/deploy/DeployDependencies.scala
akka/akka,https://github.com/akka/akka,https://github.com/akka/akka/blob/49322afae0c7c0f96c76d5131207ac55a8f92cd3/project/Dependencies.scala
ornicar/lila,https://github.com/ornicar/lila,https://github.com/ornicar/lila/blob/eed7f88031d256ef654eff1f36a876b8e52b4c92/project/Dependencies.scala
rtyley/bfg-repo-cleaner,https://github.com/rtyley/bfg-repo-cleaner,https://github.com/rtyley/bfg-repo-cleaner/blob/a1cf8694f0852a0c0e9a92eab23b73deb868233b/project/dependencies.scala
snowplow/snowplow,https://github.com/snowplow/snowplow,https://github.com/snowplow/snowplow/blob/6c62b205fcd60e286dbca76e829a2eab8e8e621f/2-collectors/thrift-schemas/project/Dependencies.scala
snowplow/snowplow,https://github.com/snowplow/snowplow,https://github.com/snowplow/snowplow/blob/6c62b205fcd60e286dbca76e829a2eab8e8e621f/3-enrich/hadoop-event-recovery/project/Dependencies.scala
snowplow/snowplow,https://github.com/snowplow/snowplow,https://github.com/snowplow/snowplow/blob/6c62b205fcd60e286dbca76e829a2eab8e8e621f/4-storage/hadoop-elasticsearch-sink/project/Dependencies.scala
