low,high,size
0,187,55
188,281,74
282,328,507
329,375,812
376,422,940
423,469,685
470,516,742
517,563,651
564,610,592
611,657,432
658,704,732
705,750,671
751,797,727
798,844,616
845,891,620
892,938,488
939,985,701
986,1032,617
1033,1125,934
1126,1172,550
1173,1219,541
1220,1313,773
1314,1360,603
1361,1407,716
1408,1454,499
1455,1500,581
1501,1594,885
1595,1688,959
1689,1782,890
1783,1875,877
1876,1922,522
1923,1969,494
1970,2063,851
2064,2157,700
2158,2250,882
2251,2344,972
2345,2438,628
2439,2532,779
2533,2625,723
2626,2719,585
2720,2813,726
2814,2907,558
2908,3000,584
3001,3094,597
3095,3188,560
3189,3375,894
3376,3469,578
3470,3563,533
3564,3750,806
3751,3938,919
3939,4125,939
4126,4313,828
4314,4500,894
4501,4688,639
4689,4875,685
4876,5063,709
5064,5250,687
5251,5438,738
5439,5625,752
5626,5813,544
5814,6000,520
6001,6188,571
6189,6375,630
6376,6563,571
6564,6750,465
6751,7125,884
7126,7500,938
7501,7875,803
7876,8250,841
8251,8625,716
8626,9000,656
9001,9375,714
9376,9750,577
9751,10125,563
10126,10500,523
10501,11250,864
11251,12000,674
12001,12750,706
12751,13500,551
13501,14250,712
14251,15000,521
15001,16500,807
16501,18000,752
18001,19500,675
19501,21000,813
21001,22500,592
22501,24000,555
24001,27000,958
27001,30000,765
30001,33000,993
33001,36000,643
36001,42000,848
42001,48000,565
48001,60000,867
60001,72000,505
72001,96000,787
96001,120000,644
120001,144000,691
144001,192000,614
192001,384000,910
