http://org.softlang.com/EcorePackageGenmodel,stargazers_count,pushed_at,http://org.softlang.com/EcorePackageXMI,http://org.softlang.com/qegal/EE,http://org.softlang.com/Folder,language,repository,http://org.softlang.com/Ant,genmodel,http://org.softlang.com/qegal/EJ1,http://org.softlang.com/qegal/EJ3,http://org.softlang.com/Pom,http://org.softlang.com/qegal/EJ2,http://org.softlang.com/Gradle,http://org.softlang.com/EcorePackageJava,state,http://org.softlang.com/File,http://org.softlang.com/EcoreClassifierJava,http://org.softlang.com/EcoreClassifierXMI,duplicates,http://org.softlang.com/qegal/E,http://org.softlang.com/qegal/G,http://org.softlang.com/Ecore,sha,http://org.softlang.com/qegal/EJJ,http://org.softlang.com/correspondsTo,eobject,http://org.softlang.com/qegal/J,size,http://org.softlang.com/partOf,ecore,default_branch,http://org.softlang.com/qegal/EJc2,components,sha_data,http://org.softlang.com/manifestsAs,created_at,http://org.softlang.com/Genmodel,http://org.softlang.com/uri,http://org.softlang.com/refersTo,updated_at,http://org.softlang.com/EcoreFactoryJava,http://org.softlang.com/name,http://org.softlang.com/OSGiProject,uniform_build,http://org.softlang.com/XML,http://org.softlang.com/nsUri,http://org.softlang.com/Manifest,http://org.softlang.com/refOccurs,http://org.softlang.com/Java,http://org.softlang.com/elementOf,http://org.softlang.com/Xtext,time,watchers_count,http://org.softlang.com/nsPrefix,forks_count,exception_in_process,http://org.softlang.com/Emfatic,http://org.softlang.com/QVTo,http://org.softlang.com/Acceleo,http://org.softlang.com/Sirius,http://org.softlang.com/GMF,http://org.softlang.com/Xpand,http://org.softlang.com/JET,http://org.softlang.com/ATL,http://org.softlang.com/IncQuery,http://org.softlang.com/OCL,http://org.softlang.com/EOL,http://org.softlang.com/Xcore,http://org.softlang.com/Eugenia,http://org.softlang.com/EVL,http://org.softlang.com/EGL
1.0,98.0,2014-02-03T11:48:35Z,1.0,,230.0,Java,applause/applause,0.0,1.0,,1.0,0.0,,0.0,1.0,done,840.0,48.0,48.0,0.0,1.0,1.0,1.0,e16cc0ff9056e046720771f44cb9430fb4ae653a,,49.0,24.0,1.0,35613.0,1119.0,1.0,develop,,1.0,2014-01-13T09:05:48Z,1070.0,2011-03-16T23:56:48Z,1.0,96.0,,2017-10-09T17:02:16Z,1.0,48.0,8.0,True,51.0,51.0,1.0,60.0,245.0,414.0,1,969,98.0,1.0,24.0,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"org.eclipse.jgit.api.errors.JGitInternalException: Cannot lock C:\Data\JUtil-temp\gitrepos\amishne\llvm-ir-editor\.git\index. Ensure that no other process has an open file handle on the lock file C:\Data\JUtil-temp\gitrepos\amishne\llvm-ir-editor\.git\index.lock, then you may delete the lock file and retry.",,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"org.eclipse.jgit.api.errors.JGitInternalException: Cannot lock C:\Data\JUtil-temp\gitrepos\JmrTeam\auto\.git\index. Ensure that no other process has an open file handle on the lock file C:\Data\JUtil-temp\gitrepos\JmrTeam\auto\.git\index.lock, then you may delete the lock file and retry.",,,,,,,,,,,,,,,
"",27.0,2012-01-09T08:50:41Z,,,74.0,Java,imeikas/BPMN2-Editor-for-Eclipse,0.0,0.0,,,0.0,,0.0,,done,395.0,,,0.0,,,,cc2f73e854d652681c24076165beaa81333db302,,,3.0,,6686.0,468.0,0.0,master,,1.0,2012-01-09T08:50:40Z,469.0,2011-01-10T17:09:46Z,,,,2017-12-06T16:46:09Z,,,3.0,True,20.0,,1.0,25.0,233.0,259.0,,750,27.0,,13.0,,,,,,,,,,,,,,,,
"",27.0,2009-06-07T16:18:33Z,2.0,2.0,52.0,Java,QuBiT/cucumber-eclipse-plugin,0.0,0.0,2.0,,0.0,,0.0,,done,136.0,,64.0,0.0,2.0,,2.0,6e79611e40b912b65b69f5692b68d6cabf3dc6e6,,,0.0,,437.0,253.0,2.0,master,,1.0,2009-06-07T16:18:15Z,188.0,2009-05-05T12:43:29Z,,64.0,,2015-11-05T21:45:24Z,,64.0,3.0,True,18.0,66.0,1.0,21.0,16.0,108.0,,638,27.0,2.0,9.0,,,,,,,,,,,,,,,,
1.0,27.0,2017-04-13T21:52:50Z,1.0,,73.0,Java,sebastianbenz/xgherkin,0.0,1.0,,1.0,0.0,,0.0,1.0,done,129.0,18.0,18.0,0.0,1.0,1.0,1.0,45f6e8a61ef4a5bbe971d601fac659a26254db1b,,19.0,7.0,1.0,11071.0,221.0,1.0,master,,1.0,2016-09-22T16:02:47Z,202.0,2011-07-07T19:51:17Z,1.0,36.0,,2018-01-31T11:14:07Z,1.0,18.0,3.0,True,15.0,21.0,1.0,31.0,88.0,151.0,1,672,27.0,1.0,4.0,,,,,,,,,,,,,,,,
3.0,26.0,2015-04-02T20:23:57Z,10.0,,235.0,Java,JanKoehnlein/Generic-Graph-View,0.0,3.0,7.0,3.0,0.0,,0.0,3.0,done,445.0,20.0,142.0,0.0,10.0,3.0,8.0,d6ee29dcfd069e83bf53c90b6cbec27302d26084,,22.0,4.0,3.0,29925.0,834.0,8.0,master,,1.0,2015-02-27T08:49:17Z,680.0,2011-06-15T16:20:12Z,3.0,162.0,2.0,2017-08-08T14:07:50Z,3.0,142.0,13.0,True,57.0,158.0,1.0,143.0,245.0,520.0,3,1063,26.0,10.0,3.0,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"org.eclipse.jgit.api.errors.JGitInternalException: Cannot lock C:\Data\JUtil-temp\gitrepos\gdslang\gdsl-toolkit\.git\index. Ensure that no other process has an open file handle on the lock file C:\Data\JUtil-temp\gitrepos\gdslang\gdsl-toolkit\.git\index.lock, then you may delete the lock file and retry.",,,,,,,,,,,,,,,
1.0,15.0,2017-02-26T15:11:47Z,1.0,,96.0,Java,mzaks/FlatBuffersSchemaEditor,0.0,1.0,1.0,,0.0,,0.0,,done,205.0,,19.0,0.0,1.0,1.0,1.0,313efd2f2a00db4d8eb97e91714ffe3eb52487a6,,,13.0,,2810.0,321.0,1.0,master,,1.0,2017-02-26T09:47:42Z,301.0,2015-12-03T21:43:30Z,1.0,19.0,,2017-10-03T13:37:55Z,,19.0,3.0,True,17.0,20.0,1.0,27.0,62.0,108.0,1,828,15.0,1.0,4.0,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"org.eclipse.jgit.api.errors.JGitInternalException: Cannot lock C:\Data\JUtil-temp\gitrepos\att\yang-design-studio\.git\index. Ensure that no other process has an open file handle on the lock file C:\Data\JUtil-temp\gitrepos\att\yang-design-studio\.git\index.lock, then you may delete the lock file and retry.",,,,,,,,,,,,,,,
